Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.25925925925925924,0.4117647058823529,0.4117647058823529,0.8941798941798942,169,20,10,7
Calibrated ensemble,0.47606738209724425,0.2413793103448276,0.4117647058823529,0.4117647058823529,0.8835978835978836,167,22,10,7
