Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.45454545454545453,0.29411764705882354,0.29411764705882354,0.9682539682539683,183,6,12,5
Calibrated ensemble,0.2639208689332008,0.2903225806451613,0.5294117647058824,0.5294117647058824,0.8835978835978836,167,22,8,9
