,Mean ± SD
accuracy,0.825 ± 0.061
balanced_accuracy,0.748 ± 0.020
f1_macro,0.646 ± 0.057
auc,0.841 ± 0.041
pr_auc,0.419 ± 0.092
mcc,0.355 ± 0.075
brier,0.078 ± 0.018
TN,127.000 ± 10.583
FP,24.200 ± 10.458
FN,4.600 ± 0.490
TP,8.800 ± 0.748
sensitivity,0.656 ± 0.040
specificity,0.840 ± 0.069
