,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,0.0625,0.125,0.125,0.3125,0.0625
ResNet18,0.0625,,1.0,0.625,0.3125,0.125
ResNet50,0.125,1.0,,0.625,0.3125,0.06788915486182899
ResNet101,0.125,0.625,0.625,,0.1875,0.10880943004054569
DenseNet121,0.3125,0.3125,0.3125,0.1875,,0.0625
ResNet50_TL,0.0625,0.125,0.06788915486182899,0.10880943004054569,0.0625,
