,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,0.002622055923902522,0.0783713990634467,0.04608532871583759,0.016123099018486187,0.0047786926929398454
ResNet18,0.0016855736868739424,,0.012080169818843745,0.0007149025327897185,0.007372763969709428,0.005194799442723497
ResNet50,0.020241602400898673,0.011914613377413952,,0.022454604469968942,0.007114942888791331,0.025799745623944492
ResNet101,0.0291836689859315,0.004658635614828155,0.023622224117667345,,0.0071099259410567495,0.01229887174608213
DenseNet121,0.014540146268801069,0.042767835411881894,0.021126169295243136,0.0051256601061897555,,0.025698654058656345
ResNet50_TL,0.00734470494119277,0.005247167883174697,0.01476455181133951,0.006424024669605011,0.008195145148722993,
