,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_pretrained
3DCNN,,0.013676746861048805,0.06265224932830749,0.07982209780429406,0.08028203755063634,0.02635106718480107
ResNet18,0.017040999117732936,,0.017397094764801002,0.036437059376002834,0.016935958414670438,0.05578035417695437
ResNet50,0.027385369157244543,0.020767648516177406,,0.05738009525526566,0.04751237181773016,0.03810081416386879
ResNet101,0.029711455281324017,0.009356433043615109,0.008521408342176073,,0.032542273117609044,0.04091717289586838
DenseNet121,0.09303591390556676,0.016960806515858406,0.03654291009022037,0.03321795738386313,,0.062231524903337165
ResNet50_pretrained,0.007261469143139632,0.038719494422277734,0.017512440410108798,0.09018953536505481,0.012178227044497891,
