Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.5714285714285714,0.23529411764705882,0.23529411764705882,0.9841269841269841,186,3,13,4
Calibrated ensemble,0.2704626590013504,0.225,0.5294117647058824,0.5294117647058824,0.8359788359788359,158,31,8,9
