mode,metric,value
raw@0.5,precision_0,0.9424083769633508
raw@0.5,recall_0,0.9523809523809523
raw@0.5,f1_0,0.9473684210526315
raw@0.5,precision_1,0.4
raw@0.5,recall_1,0.35294117647058826
raw@0.5,f1_1,0.37500000000000006
raw@0.5,TPR,0.35294117647058826
raw@0.5,TNR,0.9523809523809523
raw@0.5,FPR,0.047619047619047616
raw@0.5,FNR,0.6470588235294118
raw@0.5,PPV,0.4
raw@0.5,NPV,0.9424083769633508
raw@0.5,roc_auc,0.8331777155306568
raw@0.5,pr_auc,0.42798643142328713
uncalibrated@t_opt,precision_0,0.9613259668508287
uncalibrated@t_opt,recall_0,0.9206349206349206
uncalibrated@t_opt,f1_0,0.9405405405405406
uncalibrated@t_opt,precision_1,0.4
uncalibrated@t_opt,recall_1,0.5882352941176471
uncalibrated@t_opt,f1_1,0.4761904761904762
uncalibrated@t_opt,TPR,0.5882352941176471
uncalibrated@t_opt,TNR,0.9206349206349206
uncalibrated@t_opt,FPR,0.07936507936507936
uncalibrated@t_opt,FNR,0.4117647058823529
uncalibrated@t_opt,PPV,0.4
uncalibrated@t_opt,NPV,0.9613259668508287
uncalibrated@t_opt,roc_auc,0.8331777155306568
uncalibrated@t_opt,pr_auc,0.42798643142328713
calibrated@t_opt,precision_0,0.9513513513513514
calibrated@t_opt,recall_0,0.9312169312169312
calibrated@t_opt,f1_0,0.9411764705882354
calibrated@t_opt,precision_1,0.38095238095238093
calibrated@t_opt,recall_1,0.47058823529411764
calibrated@t_opt,f1_1,0.42105263157894735
calibrated@t_opt,TPR,0.47058823529411764
calibrated@t_opt,TNR,0.9312169312169312
calibrated@t_opt,FPR,0.06878306878306878
calibrated@t_opt,FNR,0.5294117647058824
calibrated@t_opt,PPV,0.38095238095238093
calibrated@t_opt,NPV,0.9513513513513514
calibrated@t_opt,roc_auc,0.8331777155306568
calibrated@t_opt,pr_auc,0.42798643142328713
