,Mean ± SD
acc,0.771 ± 0.077
bal_acc,0.738 ± 0.121
f1_macro,0.714 ± 0.167
auc,0.729 ± 0.285
pr,0.709 ± 0.233
mcc,0.477 ± 0.242
brier,0.162 ± 0.045
TN,89.400 ± 7.031
FP,12.600 ± 7.031
FN,25.000 ± 18.868
TP,37.600 ± 19.190
sensitivity,0.599 ± 0.305
specificity,0.876 ± 0.069
