Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.7846153846153846,0.6538461538461539,0.6538461538461539,0.890625,114,14,27,51
Calibrated ensemble,0.49025045037269593,0.7846153846153846,0.6538461538461539,0.6538461538461539,0.890625,114,14,27,51
