epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.249985294,0.680851064,0.678361921,0.357095854,0.759596523,0.678522572,0.705882353,0.701949861,0.709859155,0.709859155,0.646864686,0.780767754,196,107,103,252,53.72369957,0.581681252,1.115819322,0.775757576,0.747871334,0.314698482,0.828760643,0.607673029,0.350877193,0.23255814,0.714285714,0.714285714,0.781456954,0.469753361,118,33,4,10,9.280323744,0.734093666
2,2.02861926,0.717325228,0.717281701,0.434346477,0.782648917,0.717113536,0.709375,0.702786378,0.716088328,0.716088328,0.718475073,0.763268456,245,96,90,227,54.36821866,0.581681252,0.915447991,0.878787879,0.577341533,0.165981209,0.742904447,0.582489879,0.230769231,0.25,0.214285714,0.214285714,0.940397351,0.213068755,142,9,11,3,9.58633709,0.734093666
3,1.352437747,0.791793313,0.791346154,0.583164271,0.862328957,0.791492324,0.799414348,0.791304348,0.807692308,0.807692308,0.775,0.857996034,248,72,65,273,54.29886556,0.581681252,0.94478801,0.83030303,0.680463576,0.267937035,0.719016083,0.618055556,0.333333333,0.25,0.5,0.5,0.860927152,0.323111966,130,21,7,7,9.45417285,0.734093666
4,1.458074462,0.79331307,0.793715746,0.586845027,0.872426307,0.793158284,0.7875,0.773006135,0.802547771,0.802547771,0.784883721,0.861255195,270,74,62,252,55.1214869,0.581681252,0.889090258,0.909090909,0.658703879,0.354579257,0.761116367,0.675409836,0.4,0.454545455,0.357142857,0.357142857,0.960264901,0.440932966,145,6,9,5,9.363380432,0.734093666
5,2.096457584,0.776595745,0.776752051,0.553481088,0.847185259,0.776595229,0.77693475,0.787692308,0.766467066,0.766467066,0.787037037,0.836789209,255,69,78,256,55.65818119,0.581681252,1.552261701,0.781818182,0.589167455,0.125686331,0.652790918,0.54531537,0.217391304,0.15625,0.357142857,0.357142857,0.821192053,0.235394992,124,27,9,5,9.241420984,0.734093666
6,0.927344764,0.852583587,0.852348373,0.704902068,0.926132581,0.852433281,0.847723705,0.851735016,0.84375,0.84375,0.860946746,0.918520796,291,47,50,270,54.06371212,0.581681252,0.900988499,0.884848485,0.677861873,0.32606939,0.763954588,0.661775812,0.387096774,0.352941176,0.428571429,0.428571429,0.927152318,0.319603969,140,11,8,6,9.372801781,0.734093666
7,0.883577376,0.861702128,0.860703133,0.722414442,0.935394794,0.861108985,0.85203252,0.861842105,0.84244373,0.84244373,0.878962536,0.92302517,305,42,49,262,54.41541481,0.581681252,0.673292488,0.909090909,0.691106906,0.395335122,0.863765374,0.697469747,0.444444444,0.461538462,0.428571429,0.428571429,0.953642384,0.518236748,144,7,8,6,9.305238247,0.734093666
8,0.829262527,0.863221884,0.863039677,0.726079355,0.942537721,0.863039677,0.868035191,0.868035191,0.868035191,0.868035191,0.858044164,0.946677518,272,45,45,296,55.26265717,0.581681252,0.870852985,0.933333333,0.639545885,0.453685111,0.827341533,0.692841428,0.421052632,0.8,0.285714286,0.285714286,0.993377483,0.560039346,150,1,10,4,9.215056658,0.734093666
9,0.628640533,0.895136778,0.894901101,0.790054292,0.961952451,0.895008498,0.898678414,0.894736842,0.902654867,0.902654867,0.887147335,0.959447023,283,36,33,306,53.4360795,0.581681252,0.807196385,0.890909091,0.616367077,0.249733195,0.838694418,0.624240891,0.307692308,0.333333333,0.285714286,0.285714286,0.947019868,0.480612762,143,8,10,4,9.157591581,0.734093666
10,1.064235851,0.866261398,0.864485459,0.72986952,0.937882177,0.864902195,0.878453039,0.873626374,0.883333333,0.883333333,0.845637584,0.938433019,252,46,42,318,53.97389317,0.581681252,1.439677641,0.806060606,0.69962157,0.275052026,0.831125828,0.609929078,0.333333333,0.235294118,0.571428571,0.571428571,0.82781457,0.509569675,125,26,6,8,9.444856882,0.734093666
