epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.21034380564109817,0.49013657056145676,0.4905804715294291,-0.01884426815446961,0.498304116204907,0.490126003979073,163,158,178,160,0.47337278106508873,0.5077881619937694,0.12920355337967232,0.6402439024390244,0.5273561037318153,0.15431089985597254,0.6633459835547122,0.4466746726139418,101,1,58,4,0.06451612903225806,0.9901960784313726
2,0.19781089054815698,0.48254931714719274,0.48247351450944265,-0.035051679372323175,0.49054813450023027,0.48247304918969086,155,170,171,163,0.4880239520958084,0.47692307692307695,0.12115960992963576,0.6036585365853658,0.6655597722960152,0.35509036379802456,0.7920619860847565,0.6003149488208166,42,60,5,57,0.9193548387096774,0.4117647058823529
3,0.1778545572366001,0.5371775417298937,0.5341047841047841,0.06839773289315391,0.5582426832426832,0.5340488913101433,150,158,147,204,0.5811965811965812,0.487012987012987,0.13272336268479504,0.6890243902439024,0.6203352308665402,0.2980657357325562,0.7028779253636939,0.6172958133150309,92,10,41,21,0.3387096774193548,0.9019607843137255
4,0.17936558495840113,0.5538694992412747,0.5538857859131043,0.10773583064509337,0.5906698740990617,0.5537862736066329,187,151,143,178,0.5545171339563862,0.5532544378698225,0.1654535450847683,0.6402439024390244,0.6570208728652751,0.30512537391728234,0.7297596457938014,0.6372089535450489,60,42,17,45,0.7258064516129032,0.5882352941176471
5,0.17774137122217903,0.5538694992412747,0.5521646819902151,0.10452735549936717,0.5704467829779378,0.552135922330097,203,142,152,162,0.5159235668789809,0.5884057971014492,0.256944450754218,0.4146341463414634,0.5262492093611638,0.11817751686949479,0.7305502846299811,0.3434528773978315,7,95,1,61,0.9838709677419355,0.06862745098039216
6,0.17490225384209418,0.5447647951441578,0.5446384154767387,0.08928587926706756,0.5613265776140027,0.5446379215035932,185,149,151,174,0.5353846153846153,0.5538922155688623,0.11615851739557778,0.6707317073170732,0.5961416824794434,0.24779308032941583,0.711100569259962,0.5865546218487395,92,10,44,18,0.2903225806451613,0.9019607843137255
7,0.15605069802876448,0.5735963581183612,0.5727021040974529,0.14542434031105564,0.594047619047619,0.5727108479605705,174,141,140,204,0.5930232558139535,0.5523809523809524,0.250342796795161,0.43902439024390244,0.5426944971537002,0.14817951938361826,0.7182163187855788,0.38646714378659724,12,90,2,60,0.967741935483871,0.11764705882352941
8,0.16201614835652325,0.5842185128983308,0.5840721012956853,0.16812406249967987,0.6264951987761949,0.5840566489753796,199,138,136,186,0.577639751552795,0.5905044510385756,0.19070872449225224,0.4817073170731707,0.5833333333333334,0.2651316363252391,0.7844718532574321,0.4395078605604921,17,85,0,62,1.0,0.16666666666666666
9,0.14287155312627103,0.5933232169954477,0.5932854379662891,0.18680502362753496,0.6555494151238832,0.5930524064959722,187,142,126,204,0.6181818181818182,0.5683890577507599,0.10084606999270164,0.7439024390243902,0.7055660974067046,0.43815503232099884,0.7958570524984188,0.7127606338615513,88,14,28,34,0.5483870967741935,0.8627450980392157
10,0.13635066299219475,0.6312594840667678,0.6310083089224194,0.2623309518201638,0.6896313491405517,0.6309195378456305,218,115,128,198,0.6073619631901841,0.6546546546546547,0.11520987360102193,0.676829268292683,0.6990828589500315,0.38755572805458444,0.803921568627451,0.6747857971339843,62,40,13,49,0.7903225806451613,0.6078431372549019
