,Mean ± SD
acc,0.552 ± 0.150
bal_acc,0.554 ± 0.108
f1_macro,0.414 ± 0.178
auc,0.262 ± 0.264
pr,0.327 ± 0.177
mcc,0.105 ± 0.211
brier,0.238 ± 0.025
TN,55.800 ± 46.615
FP,46.200 ± 46.615
FN,27.600 ± 29.234
TP,35.000 ± 28.941
sensitivity,0.561 ± 0.464
specificity,0.547 ± 0.457
