Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.75,0.6538461538461539,0.6538461538461539,0.8671875,111,17,27,51
Calibrated ensemble,0.5157282590866089,0.7,0.6282051282051282,0.6282051282051282,0.8359375,107,21,29,49
