Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.4,0.23529411764705882,0.23529411764705882,0.9682539682539683,183,6,13,4
Calibrated ensemble,0.2377859652042389,0.23255813953488372,0.5882352941176471,0.5882352941176471,0.8253968253968254,156,33,7,10
