row,threshold,TN,FP,FN,TP,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc,pr_auc
Raw@0.5,0.5,183,6,13,4,0.9336734693877551,0.9682539682539683,0.9506493506493506,0.4,0.23529411764705882,0.2962962962962963,0.8266417678182384,0.44528532490824774
Cal@0.5,0.5,185,4,13,4,0.9343434343434344,0.9788359788359788,0.9560723514211886,0.5,0.23529411764705882,0.32,0.8247743541861189,0.422224219513222
Cal@topt_ens,0.2377859652042389,156,33,7,10,0.9570552147239264,0.8253968253968254,0.8863636363636364,0.23255813953488372,0.5882352941176471,0.3333333333333333,0.8247743541861189,0.422224219513222
