,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,0.4375,0.1875,0.3125,0.125,0.0625
ResNet18,0.4375,,0.14412703481601533,0.3125,0.14412703481601533,0.0625
ResNet50,0.1875,0.14412703481601533,,1.0,0.28504940740261275,0.125
ResNet101,0.3125,0.3125,1.0,,0.4652088184521418,0.625
DenseNet121,0.125,0.14412703481601533,0.28504940740261275,0.4652088184521418,,1.0
ResNet50_TL,0.0625,0.0625,0.125,0.625,1.0,
