,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,2.6431662865977756e-05,0.00033844666749249797,0.0001988053674208956,1.7686459970800428e-05,3.520391267386458e-08
ResNet18,0.00021401240183727133,,0.0007854082648131033,9.792200635261317e-05,2.3474001053402915e-05,1.784029768359119e-08
ResNet50,0.0006041176948594629,0.00043034715934942014,,0.00046464230872822476,0.00023015014217220298,1.1608740635438153e-09
ResNet101,0.0001929527716060253,3.409852863400786e-05,0.0003198106710753379,,2.6902022001173975e-06,1.243359057934157e-07
DenseNet121,7.768268097207987e-05,2.0638279550677652e-05,0.0007722649966173112,1.463300062587436e-05,,4.1430192609936967e-11
ResNet50_TL,2.4249853236568697e-09,4.987243951148912e-10,3.584907926068581e-10,1.6059149121616656e-08,6.317191214577633e-11,
