,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,0.4375,0.1875,0.3125,0.125,0.0625
ResNet18,0.4375,,0.1875,0.1875,0.0625,0.0625
ResNet50,0.1875,0.1875,,0.4652088184521418,0.28504940740261275,0.625
ResNet101,0.3125,0.1875,0.4652088184521418,,0.14412703481601533,0.4375
DenseNet121,0.125,0.0625,0.28504940740261275,0.14412703481601533,,0.625
ResNet50_TL,0.0625,0.0625,0.625,0.4375,0.625,
