,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_pretrained
3DCNN,,0.0037612290718096464,0.006741034901412091,0.0070771966228246885,0.0039060629437777106,0.0001542049836125159
ResNet18,0.0014673966862801535,,0.0031646376004084154,0.00136761765212845,0.0040941776828529175,3.387817834266116e-05
ResNet50,0.004698350839837051,0.02053832021280111,,0.015456778544481242,0.010675500835403362,8.673289003602314e-05
ResNet101,0.004723930735858861,0.004255385352694763,0.011622781257105474,,0.0009648201404128809,0.0005523661833302107
DenseNet121,0.005509677552542724,0.01135877425827192,0.02437244591179355,0.0031815980980101077,,1.6254875111698652e-05
ResNet50_pretrained,6.71114373831383e-05,0.00014230459482678093,0.00015217386125043753,0.00041965046055691957,2.5840210011729425e-05,
