,3DCNN,ResNet18,ResNet50,ResNet101,DenseNet121,ResNet50_TL
3DCNN,,0.3125,0.125,0.0625,0.0625,0.0625
ResNet18,0.3125,,0.3125,0.1875,0.125,0.625
ResNet50,0.125,0.3125,,1.0,0.125,0.8125
ResNet101,0.0625,0.1875,1.0,,0.0625,0.8125
DenseNet121,0.0625,0.125,0.125,0.0625,,0.125
ResNet50_TL,0.0625,0.625,0.8125,0.8125,0.125,
