Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.7815533980582524,0.8786407766990292
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.744934348229789,0.859964456530888
Raw ensemble,Overall,NA,F1-macro,0.5,0.7578574057243924,0.8685788654400695
Raw ensemble,Overall,NA,Precision,0.5,0.7611641791044776,0.9355094726062467
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.5774512459371615,0.7721518987341772
Raw ensemble,Overall,NA,Specificity,0.5,0.8809434968017057,0.9696969696969697
Raw ensemble,Overall,NA,ROC AUC,probability,0.8178580637638124,0.9187786259541985
Raw ensemble,Overall,NA,PR AUC,probability,0.7334266535654849,0.9003268453520218
Raw ensemble,Per-class,0,Precision,0.5,0.7638795045045045,0.884912641315519
Raw ensemble,Per-class,0,Recall,0.5,0.8805970149253731,0.969236641221374
Raw ensemble,Per-class,0,F1,0.5,0.8319209706354452,0.9142857142857143
Raw ensemble,Per-class,1,Precision,0.5,0.7592293906810036,0.9333333333333333
Raw ensemble,Per-class,1,Recall,0.5,0.575747198007472,0.7763523391812865
Raw ensemble,Per-class,1,F1,0.5,0.6665413533834587,0.8309859154929577
Calibrated ensemble,Overall,NA,Accuracy,0.43841220140457154,0.7815533980582524,0.8786407766990292
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.43841220140457154,0.7484355943014921,0.8660835409745293
Calibrated ensemble,Overall,NA,F1-macro,0.43841220140457154,0.7568843430369787,0.870038105332223
Calibrated ensemble,Overall,NA,Precision,0.43841220140457154,0.71636460554371,0.8873239436619719
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.43841220140457154,0.620253164556962,0.8255813953488372
Calibrated ensemble,Overall,NA,Specificity,0.43841220140457154,0.8294240552325581,0.9440656565656566
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.8144475640469355,0.9168698737856346
Calibrated ensemble,Overall,NA,PR AUC,probability,0.7149581207491553,0.8878582762422617
Calibrated ensemble,Per-class,0,Precision,0.43841220140457154,0.7802990006447453,0.9015336637047163
Calibrated ensemble,Per-class,0,Recall,0.43841220140457154,0.8333333333333334,0.9435596774193549
Calibrated ensemble,Per-class,0,F1,0.43841220140457154,0.8188976377952756,0.9083341633466135
Calibrated ensemble,Per-class,1,Precision,0.43841220140457154,0.7083173076923077,0.8965644016227181
Calibrated ensemble,Per-class,1,Recall,0.43841220140457154,0.6249594155844156,0.8209088486140725
Calibrated ensemble,Per-class,1,F1,0.43841220140457154,0.6802721088435374,0.8391694725028058
