,Mean ± SD
acc,0.679 ± 0.170
bal_acc,0.668 ± 0.141
f1_macro,0.600 ± 0.228
auc,0.575 ± 0.348
pr,0.580 ± 0.277
mcc,0.349 ± 0.292
brier,0.188 ± 0.053
TN,73.200 ± 37.786
FP,28.800 ± 37.786
FN,24.000 ± 21.587
TP,38.600 ± 21.416
sensitivity,0.618 ± 0.343
specificity,0.718 ± 0.370
