Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.8548387096774194,0.6794871794871795,0.6794871794871795,0.9296875,119,9,25,53
Calibrated ensemble,0.43841220140457154,0.8028169014084507,0.7307692307692307,0.7307692307692307,0.890625,114,14,21,57
