epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
14,0.804030653,0.863429439,0.863415308,0.726971243,0.935921525,0.863414028,0.864864865,0.857142857,0.872727273,0.872727273,0.854103343,0.932525192,281,48,42,288,33.94459701,0.138143063,0.791562157,0.865853659,0.645950076,0.24639601,0.816352522,0.619087838,0.3125,0.263157895,0.384615385,0.384615385,0.907284768,0.384452014,137,14,8,5,7.175928116,0.16345787
15,0.874146924,0.84522003,0.844881933,0.690202945,0.905883058,0.845031262,0.850439883,0.843023256,0.857988166,0.857988166,0.831775701,0.886206463,267,54,48,290,33.42703509,0.138143063,0.769420993,0.884146341,0.691034131,0.33020864,0.826795721,0.661561855,0.387096774,0.333333333,0.461538462,0.461538462,0.920529801,0.402404506,139,12,7,6,7.35829401,0.16345787
16,0.766213228,0.887708649,0.888238604,0.775919162,0.944301474,0.887664934,0.885448916,0.869300912,0.902208202,0.902208202,0.874269006,0.933808621,299,43,31,286,33.82505727,0.138143063,0.740145701,0.896341463,0.662506368,0.314232341,0.831125828,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.371626643,142,9,8,5,7.218118191,0.16345787
17,0.762603706,0.871016692,0.868709073,0.739913576,0.940133007,0.869709833,0.882758621,0.869565217,0.896358543,0.896358543,0.841059603,0.941497571,254,48,37,320,34.21091461,0.138143063,0.852143784,0.859756098,0.748089659,0.367005515,0.819409068,0.665335818,0.41025641,0.307692308,0.615384615,0.615384615,0.880794702,0.393013452,133,18,5,8,7.026814938,0.16345787
18,0.732555879,0.890743551,0.890122399,0.781810013,0.953003742,0.890501246,0.895652174,0.877840909,0.914201183,0.914201183,0.866043614,0.944224472,278,43,29,309,33.90634727,0.138143063,0.767141725,0.884146341,0.691034131,0.33020864,0.825267448,0.661561855,0.387096774,0.333333333,0.461538462,0.461538462,0.920529801,0.380152701,139,12,7,6,7.176613808,0.16345787
19,0.774913945,0.875569044,0.874474461,0.75179625,0.936142357,0.875085529,0.882857143,0.858333333,0.908823529,0.908823529,0.840125392,0.929522072,268,51,31,309,33.78928256,0.138143063,0.713190977,0.902439024,0.665817626,0.331635252,0.830106979,0.665817626,0.384615385,0.384615385,0.384615385,0.384615385,0.947019868,0.382684508,143,8,8,5,7.118697643,0.16345787
20,0.729480252,0.874051593,0.874279187,0.748972446,0.955429356,0.87403303,0.875562219,0.856304985,0.895705521,0.895705521,0.852852853,0.950597193,284,49,34,292,33.94883776,0.138143063,0.720845187,0.896341463,0.662506368,0.314232341,0.832144677,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.395794976,142,9,8,5,7.052457571,0.16345787
21,0.72539456,0.883156297,0.882901306,0.766969235,0.947829732,0.883025931,0.886930984,0.867816092,0.906906907,0.906906907,0.858895706,0.935171416,280,46,31,302,32.95787263,0.138143063,0.769971239,0.87804878,0.687722873,0.31691773,0.820173204,0.653716216,0.375,0.315789474,0.461538462,0.461538462,0.913907285,0.392965646,138,13,7,6,7.09010911,0.16345787
22,0.673593318,0.899848255,0.900202802,0.800073785,0.96449115,0.899829572,0.898461538,0.884848485,0.9125,0.9125,0.887905605,0.960914879,301,38,28,292,33.30214286,0.138143063,0.718987181,0.896341463,0.662506368,0.314232341,0.828069282,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.389475098,142,9,8,5,7.276371717,0.16345787
23,0.759084825,0.872534143,0.872483191,0.746708463,0.936791931,0.872378686,0.876832845,0.849431818,0.906060606,0.906060606,0.838905775,0.918899622,276,53,31,299,33.23807812,0.138143063,0.752174807,0.890243902,0.69434539,0.344493681,0.821192053,0.669798658,0.4,0.352941176,0.461538462,0.461538462,0.927152318,0.394485243,140,11,7,6,6.846723318,0.16345787
24,0.700919783,0.901365706,0.90136212,0.801870219,0.952812268,0.900882765,0.893964111,0.886731392,0.901315789,0.901315789,0.901408451,0.930771765,320,35,30,274,33.04669738,0.138143063,0.722542516,0.890243902,0.65919511,0.298387828,0.829342843,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.389158753,141,10,8,5,7.108766079,0.16345787
25,0.651499464,0.916540212,0.916324161,0.833032247,0.970192786,0.91646327,0.918998527,0.912280702,0.925816024,0.925816024,0.906832298,0.969240679,292,30,25,312,32.67842126,0.138143063,0.764325533,0.884146341,0.726184412,0.373470731,0.824248599,0.679917822,0.424242424,0.35,0.538461538,0.538461538,0.913907285,0.399191113,138,13,6,7,7.117458344,0.16345787
26,0.707978508,0.907435508,0.906941502,0.816656294,0.954394288,0.907216733,0.911722142,0.882352941,0.943113772,0.943113772,0.870769231,0.942003207,283,42,19,315,33.62835717,0.138143063,0.726038286,0.890243902,0.65919511,0.298387828,0.82908813,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.392000992,141,10,8,5,7.125473976,0.16345787
27,0.693423892,0.901365706,0.90160182,0.80444947,0.95767013,0.901307528,0.903703704,0.876436782,0.932721713,0.932721713,0.870481928,0.949460531,289,43,22,305,33.31346488,0.138143063,0.722540786,0.896341463,0.662506368,0.314232341,0.830361691,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.392992486,142,9,8,5,6.768420935,0.16345787
28,0.739353807,0.877086495,0.876502581,0.754153116,0.943754609,0.876831241,0.882438316,0.868571429,0.896755162,0.896755162,0.85625,0.937299245,274,46,35,304,33.06707311,0.138143063,0.727286684,0.896341463,0.697656648,0.35992393,0.829342843,0.678468458,0.413793103,0.375,0.461538462,0.461538462,0.933774834,0.399693299,141,10,7,6,7.010458231,0.16345787
29,0.677997443,0.902883156,0.905133432,0.807845162,0.963653632,0.902719858,0.898734177,0.865853659,0.934210526,0.934210526,0.876056338,0.955518801,311,44,20,284,32.8515718,0.138143063,0.704982322,0.896341463,0.662506368,0.314232341,0.832908813,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.392217564,142,9,8,5,6.859140396,0.16345787
30,0.669087941,0.91198786,0.911873122,0.823875325,0.966806126,0.911929252,0.914201183,0.911504425,0.916913947,0.916913947,0.906832298,0.961240465,292,30,28,309,32.93736577,0.138143063,0.738179311,0.890243902,0.69434539,0.344493681,0.824758023,0.669798658,0.4,0.352941176,0.461538462,0.461538462,0.927152318,0.398019273,140,11,7,6,6.93397069,0.16345787
31,0.643919861,0.905918058,0.905940868,0.812218453,0.972879248,0.905900507,0.907185629,0.89380531,0.920972644,0.920972644,0.890909091,0.973716234,294,36,26,303,33.00721645,0.138143063,0.735236076,0.890243902,0.69434539,0.344493681,0.824503311,0.669798658,0.4,0.352941176,0.461538462,0.461538462,0.927152318,0.396388091,140,11,7,6,7.025492668,0.16345787
32,0.71750242,0.892261002,0.891410325,0.785992343,0.949780673,0.89190157,0.898134864,0.869444444,0.928783383,0.928783383,0.854037267,0.944738161,275,47,24,313,33.15029359,0.138143063,0.715621109,0.896341463,0.662506368,0.314232341,0.828323994,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.389078409,142,9,8,5,6.971491814,0.16345787
33,0.693083753,0.893778452,0.894565819,0.789204392,0.960780789,0.893778208,0.893939394,0.867647059,0.921875,0.921875,0.867256637,0.957233099,294,45,25,295,32.83757353,0.138143063,0.711933167,0.896341463,0.662506368,0.314232341,0.828323994,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.390195353,142,9,8,5,7.096444845,0.16345787
