epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
14,0.170962681,0.977203647,0.977208056,0.954411704,0.995366778,0.977203595,0.97716895,0.975683891,0.978658537,0.978658537,0.975757576,0.995129773,322,8,7,321,40.67544508,1.44431448,0.551253158,0.909090909,0.626300851,0.309959686,0.860927152,0.649483076,0.347826087,0.444444444,0.285714286,0.285714286,0.966887417,0.42150017,146,5,10,4,7.837782383,1.781224728
15,0.099441977,0.984802432,0.984988901,0.969654997,0.999167592,0.98479105,0.984375,0.97826087,0.990566038,0.990566038,0.979411765,0.999120439,333,7,3,315,40.72749972,1.44431448,0.802603416,0.915151515,0.532403027,0.165028623,0.852885525,0.540207006,0.125,0.5,0.071428571,0.071428571,0.993377483,0.432716628,150,1,13,1,7.777621269,1.781224728
16,0.087612439,0.989361702,0.98913124,0.978711092,0.999018664,0.989334877,0.989869754,0.985590778,0.994186047,0.994186047,0.984076433,0.999081799,309,5,2,342,40.65280151,1.44431448,0.752454706,0.915151515,0.564806055,0.234830843,0.851939451,0.588675214,0.222222222,0.5,0.142857143,0.142857143,0.986754967,0.424438916,149,2,12,2,7.64086175,1.781224728
17,0.071085844,0.989361702,0.989238042,0.978652998,0.999601409,0.989324198,0.988691438,0.990291262,0.987096774,0.987096774,0.99137931,0.99954328,345,3,4,306,40.11466241,1.44431448,0.786465431,0.909090909,0.529091769,0.12134852,0.841059603,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.409952705,149,2,13,1,7.739598036,1.781224728
18,0.094004275,0.989361702,0.989346958,0.978725567,0.998489356,0.989360498,0.989473684,0.987987988,0.990963855,0.990963855,0.987730061,0.998298382,322,4,3,329,40.85710502,1.44431448,0.810261077,0.909090909,0.529091769,0.12134852,0.840350047,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.38735484,149,2,13,1,7.637328863,1.781224728
19,0.07648382,0.995440729,0.9954498,0.990885868,0.998623391,0.995440635,0.995461422,0.996969697,0.993957704,0.993957704,0.996941896,0.998935153,326,1,2,329,40.5048871,1.44431448,0.831064066,0.909090909,0.529091769,0.12134852,0.840113529,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.387978193,149,2,13,1,7.877666235,1.781224728
20,0.06333065,0.992401216,0.992193068,0.984810065,0.999578879,0.992384312,0.992743106,0.988439306,0.997084548,0.997084548,0.987301587,0.999603768,311,4,1,342,40.4695189,1.44431448,0.826332801,0.909090909,0.529091769,0.12134852,0.846972564,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.394824289,149,2,13,1,7.622444391,1.781224728
21,0.072705105,0.989361702,0.989347746,0.978763313,0.999473392,0.989361088,0.989441931,0.984984985,0.993939394,0.993939394,0.984756098,0.999489744,323,5,2,328,40.58834982,1.44431448,0.874577617,0.909090909,0.529091769,0.12134852,0.847209082,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.393353652,149,2,13,1,7.740281105,1.781224728
22,0.052133789,0.995440729,0.99537915,0.990872888,0.999842734,0.995434138,0.995607613,0.994152047,0.997067449,0.997067449,0.993690852,0.999854713,315,2,1,340,40.26824141,1.44431448,0.791526137,0.909090909,0.529091769,0.12134852,0.843424787,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.371954274,149,2,13,1,7.669963837,1.781224728
23,0.093040995,0.983282675,0.983383714,0.966593205,0.998983148,0.983276147,0.983606557,0.988023952,0.979228487,0.979228487,0.987538941,0.999072205,317,4,7,330,40.65393925,1.44431448,0.846185393,0.909090909,0.529091769,0.12134852,0.844370861,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.374495338,149,2,13,1,7.613306761,1.781224728
24,0.062638887,0.990881459,0.990965499,0.981767597,0.999500652,0.99087463,0.99112426,0.994065282,0.98820059,0.98820059,0.993730408,0.999522167,317,2,4,335,40.40334439,1.44431448,0.889797549,0.909090909,0.529091769,0.12134852,0.846263009,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.380077594,149,2,13,1,7.815705299,1.781224728
25,0.076603161,0.984802432,0.984828886,0.969621938,0.99937172,0.98480187,0.98470948,0.981707317,0.987730061,0.987730061,0.981927711,0.999376414,326,6,4,322,40.27149391,1.44431448,0.899100401,0.909090909,0.529091769,0.12134852,0.843897824,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.387289934,149,2,13,1,7.563171864,1.781224728
26,0.067973917,0.989361702,0.989284921,0.978692105,0.999315271,0.98934376,0.988906498,0.99047619,0.987341772,0.987341772,0.99122807,0.999213668,339,3,4,312,40.28738284,1.44431448,0.75984306,0.909090909,0.529091769,0.12134852,0.846972564,0.534861868,0.117647059,0.333333333,0.071428571,0.071428571,0.986754967,0.379377495,149,2,13,1,7.780819416,1.781224728
