epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.567061064,0.658054711,0.657911758,0.3159184,0.727733888,0.657921187,0.651162791,0.65625,0.646153846,0.646153846,0.66966967,0.739126034,223,110,115,210,669.5902517,0.580582619,0.951034022,0.866666667,0.646255061,0.246877289,0.796052632,0.619337248,0.3125,0.263157895,0.384615385,0.384615385,0.907894737,0.283032887,138,14,8,5,304.3166518,0.736046791
2,1.944403129,0.740121581,0.739648033,0.479906362,0.798168996,0.739745894,0.749633968,0.737752161,0.761904762,0.761904762,0.717391304,0.809310389,231,91,80,256,307.8098977,0.581681252,1.042542974,0.836363636,0.664979757,0.243983272,0.769736842,0.607454401,0.307692308,0.230769231,0.461538462,0.461538462,0.868421053,0.222960828,132,20,7,6,9.33682394,0.736596107
3,1.361812541,0.753799392,0.75335277,0.506705539,0.847771762,0.75335277,0.763848397,0.763848397,0.763848397,0.763848397,0.742857143,0.862516696,234,81,81,262,217.979852,0.580582619,0.855754827,0.896969697,0.697874494,0.360296595,0.822621457,0.678657349,0.413793103,0.375,0.461538462,0.461538462,0.934210526,0.368804205,142,10,7,6,9.152113438,0.736596107
4,1.18210062,0.791793313,0.791850291,0.583757216,0.885214853,0.791788985,0.792738275,0.784431138,0.801223242,0.801223242,0.782477341,0.881068295,259,72,65,262,161.0522437,0.580582619,0.963236112,0.890909091,0.659412955,0.298782956,0.771761134,0.648770104,0.357142857,0.333333333,0.384615385,0.384615385,0.934210526,0.275718092,142,10,8,5,9.210125208,0.736596107
5,1.505030832,0.816109422,0.816363165,0.632278923,0.887209453,0.815986595,0.820740741,0.831831832,0.80994152,0.80994152,0.82278481,0.880716269,260,56,65,277,106.3257794,0.580582619,1.488622966,0.915151515,0.602226721,0.273281562,0.704959514,0.627419355,0.3,0.428571429,0.230769231,0.230769231,0.973684211,0.226880372,148,4,10,3,9.116791964,0.736596107
6,1.166742817,0.811550152,0.811375889,0.622751778,0.899626414,0.811375889,0.805642633,0.805642633,0.805642633,0.805642633,0.817109145,0.894504739,277,62,62,257,94.66551733,0.580582619,1.232543095,0.824242424,0.65840081,0.227374399,0.755566802,0.596168453,0.292682927,0.214285714,0.461538462,0.461538462,0.855263158,0.290233197,130,22,7,6,9.20514369,0.736596107
7,1.310839264,0.837386018,0.837463961,0.674849975,0.895888778,0.837376628,0.836140888,0.829787234,0.842592593,0.842592593,0.832335329,0.882381933,278,56,51,273,77.26425076,0.580582619,0.881493214,0.818181818,0.655111336,0.219582918,0.806680162,0.59077381,0.285714286,0.206896552,0.461538462,0.461538462,0.848684211,0.335328132,129,23,7,6,9.123414278,0.736596107
8,0.537116964,0.925531915,0.925591189,0.850887105,0.963316211,0.925424262,0.922590837,0.918238994,0.926984127,0.926984127,0.924198251,0.956328207,317,26,23,292,58.23725557,0.580582619,0.737103597,0.866666667,0.681427126,0.29331535,0.797317814,0.639308426,0.352941176,0.285714286,0.461538462,0.461538462,0.901315789,0.264129667,137,15,7,6,9.390540123,0.736596107
9,0.423693734,0.914893617,0.914893617,0.829802567,0.976690903,0.914892831,0.914634146,0.917431193,0.911854103,0.911854103,0.917933131,0.97819191,302,27,29,300,56.78211808,0.580582619,0.658020081,0.884848485,0.656123482,0.284274935,0.814271255,0.640852331,0.344827586,0.3125,0.384615385,0.384615385,0.927631579,0.429688187,141,11,8,5,9.158588648,0.736596107
10,0.468385154,0.919452888,0.919595993,0.839110573,0.974167406,0.919451213,0.919083969,0.909365559,0.929012346,0.929012346,0.910179641,0.97163278,304,30,23,301,56.00136495,0.580582619,0.734599501,0.890909091,0.69458502,0.344887577,0.813259109,0.67,0.4,0.352941176,0.461538462,0.461538462,0.927631579,0.341624419,141,11,7,6,9.446056843,0.736596107
