epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.134070198,0.530395137,0.531638199,0.06368832,0.53850562,0.529350491,159,177,132,190,0.590062112,0.473214286,0.120050181,0.648484848,0.545751634,0.195759754,0.802209773,0.484819121,100,2,56,7,0.111111111,0.980392157
2,0.129031493,0.56231003,0.560679724,0.121539665,0.584933093,0.560686566,165,148,140,205,0.594202899,0.52715655,0.122428752,0.642424242,0.671335201,0.337510114,0.775287893,0.641950789,56,46,13,50,0.793650794,0.549019608
3,0.121997307,0.618541033,0.614534668,0.231374621,0.664961068,0.61429976,238,110,141,169,0.54516129,0.683908046,0.114994193,0.739393939,0.737628385,0.465576391,0.79816371,0.73048433,76,26,17,46,0.73015873,0.745098039
4,0.119732846,0.642857143,0.642924459,0.285858161,0.692752606,0.642856318,212,114,121,211,0.635542169,0.650306748,0.110136455,0.76969697,0.759103641,0.515249044,0.832244009,0.757503094,82,20,18,45,0.714285714,0.803921569
5,0.114501232,0.676291793,0.675946218,0.351926609,0.742160698,0.675961741,212,107,106,233,0.687315634,0.664576803,0.105597106,0.8,0.786647993,0.57508866,0.855897915,0.787512195,86,16,17,46,0.73015873,0.843137255
6,0.108848442,0.741641337,0.741304428,0.483198614,0.787503696,0.741352201,255,79,91,233,0.719135802,0.763473054,0.101854223,0.806060606,0.788515406,0.584911859,0.871304077,0.791929382,88,14,18,45,0.714285714,0.862745098
7,0.109062511,0.732522796,0.731000972,0.463514496,0.78409459,0.731321399,219,96,80,263,0.766763848,0.695238095,0.098693165,0.8,0.777544351,0.569541646,0.861344538,0.783145486,89,13,20,43,0.682539683,0.87254902
8,0.10577486,0.724924012,0.723435523,0.446553416,0.80043623,0.723261526,213,89,92,264,0.741573034,0.705298013,0.111983248,0.690909091,0.734827264,0.472680066,0.857298475,0.690863671,56,46,5,58,0.920634921,0.549019608
9,0.103489782,0.741641337,0.741589027,0.483124472,0.812356736,0.741555381,250,86,84,238,0.739130435,0.744047619,0.09455862,0.806060606,0.7945845,0.589169001,0.877528789,0.7945845,86,16,16,47,0.746031746,0.843137255
10,0.100357142,0.772036474,0.76901693,0.542557396,0.827534123,0.769859257,286,61,89,222,0.713826367,0.824207493,0.101373739,0.781818182,0.778011204,0.547649246,0.864768129,0.772727273,81,21,15,48,0.761904762,0.794117647
11,0.096833914,0.770516717,0.768248851,0.539390988,0.849748036,0.7689021,281,65,86,226,0.724358974,0.812138728,0.088558201,0.83030303,0.808123249,0.635107349,0.889200124,0.815318196,92,10,18,45,0.714285714,0.901960784
12,0.099392554,0.746200608,0.745919679,0.49188712,0.827341156,0.745941834,235,84,83,256,0.755162242,0.736677116,0.089910218,0.806060606,0.791549953,0.586856265,0.883753501,0.793297839,87,15,17,46,0.73015873,0.852941176
13,0.100567291,0.76443769,0.763743679,0.528624732,0.824902706,0.763913677,267,70,85,236,0.735202492,0.792284866,0.093045033,0.787878788,0.792016807,0.570521017,0.877684407,0.781589199,79,23,12,51,0.80952381,0.774509804
14,0.091605861,0.779635258,0.779478767,0.559073799,0.869017143,0.779520681,264,71,74,249,0.770897833,0.788059701,0.086745283,0.824242424,0.800186741,0.621632187,0.886865857,0.807993259,92,10,19,44,0.698412698,0.901960784
15,0.093100606,0.791793313,0.791793313,0.584042746,0.860501104,0.791712011,267,62,75,254,0.772036474,0.811550152,0.103242264,0.76969697,0.798552754,0.583290472,0.885932151,0.768668831,69,33,5,58,0.920634921,0.676470588
16,0.089955676,0.785714286,0.785595414,0.571145945,0.87089497,0.785571156,267,71,70,250,0.78125,0.789940828,0.085096686,0.818181818,0.801353875,0.61093949,0.885620915,0.804933796,89,13,17,46,0.73015873,0.87254902
17,0.090448133,0.802431611,0.801451553,0.605032523,0.86545858,0.801770486,283,55,75,245,0.765625,0.837278107,0.085119573,0.812121212,0.802521008,0.603260961,0.889355742,0.801598076,86,16,15,48,0.761904762,0.843137255
18,0.088642099,0.779635258,0.780558207,0.560278572,0.876159456,0.779488068,248,63,82,265,0.763688761,0.797427653,0.086325424,0.8,0.798786181,0.587421775,0.893557423,0.792183504,82,20,13,50,0.793650794,0.803921569
19,0.083863974,0.811550152,0.811136985,0.623473492,0.894558106,0.811255459,280,54,70,254,0.783950617,0.838323353,0.084185635,0.812121212,0.796451914,0.598803514,0.888422035,0.799104513,88,14,17,46,0.73015873,0.862745098
20,0.08319434,0.82674772,0.827300032,0.65526654,0.899172866,0.826707696,277,46,68,267,0.797014925,0.857585139,0.085275574,0.806060606,0.803688142,0.59822978,0.892001245,0.797979798,83,19,13,50,0.793650794,0.81372549
21,0.083685939,0.82674772,0.826761032,0.653497912,0.892356235,0.826741318,270,56,58,274,0.825301205,0.828220859,0.08517068,0.812121212,0.808590103,0.609174935,0.891378774,0.803789942,84,18,13,50,0.793650794,0.823529412
22,0.085874178,0.800911854,0.800195904,0.603554061,0.881704184,0.800209993,283,51,80,244,0.75308642,0.847305389,0.086661863,0.8,0.798786181,0.587421775,0.891223156,0.792183504,82,20,13,50,0.793650794,0.803921569
23,0.081066636,0.834346505,0.834405026,0.669252285,0.905497044,0.834300197,280,48,61,269,0.815151515,0.853658537,0.086528518,0.806060606,0.803688142,0.59822978,0.88671024,0.797979798,83,19,13,50,0.793650794,0.81372549
24,0.085536946,0.819148936,0.81877588,0.638162539,0.880411676,0.8189277,281,55,64,258,0.801242236,0.836309524,0.085643061,0.818181818,0.813492063,0.620263846,0.887643946,0.809615385,85,17,13,50,0.793650794,0.833333333
25,0.08580135,0.811550152,0.811502217,0.623350068,0.881739653,0.811487454,273,57,67,261,0.795731707,0.827272727,0.085035718,0.818181818,0.813492063,0.620263846,0.889355742,0.809615385,85,17,13,50,0.793650794,0.833333333
26,0.083608452,0.82674772,0.82557032,0.653940398,0.891248463,0.826038961,293,46,68,251,0.786833856,0.864306785,0.085466715,0.818181818,0.813492063,0.620263846,0.888422035,0.809615385,85,17,13,50,0.793650794,0.833333333
27,0.087815435,0.816109422,0.815805036,0.632619209,0.872557173,0.815884468,280,53,68,257,0.790769231,0.840840841,0.084771757,0.812121212,0.805555556,0.606039562,0.889978214,0.802730533,85,17,14,49,0.777777778,0.833333333
28,0.085245968,0.814589666,0.813729296,0.630119998,0.882019928,0.813969225,287,49,73,249,0.773291925,0.854166667,0.084860973,0.812121212,0.805555556,0.606039562,0.88951136,0.802730533,85,17,14,49,0.777777778,0.833333333
29,0.08731408,0.808510638,0.807256446,0.616673094,0.876606196,0.807727273,287,54,72,245,0.772870662,0.841642229,0.08513837,0.818181818,0.813492063,0.620263846,0.889978214,0.809615385,85,17,13,50,0.793650794,0.833333333
30,0.078821655,0.828267477,0.826540052,0.657279921,0.909400816,0.827229571,298,43,70,247,0.779179811,0.873900293,0.085357488,0.818181818,0.813492063,0.620263846,0.889666978,0.809615385,85,17,13,50,0.793650794,0.833333333
31,0.081222099,0.838905775,0.840134324,0.680432328,0.907712517,0.838904287,277,40,66,275,0.806451613,0.873817035,0.086415458,0.806060606,0.803688142,0.59822978,0.88951136,0.797979798,83,19,13,50,0.793650794,0.81372549
