row,threshold,TN,FP,FN,TP,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc,pr_auc
Raw@0.5,0.5,181,8,10,7,0.9476439790575916,0.9576719576719577,0.9526315789473684,0.4666666666666667,0.4117647058823529,0.4375,0.8593215063803299,0.4463608109000369
Cal@0.5,0.5,179,10,10,7,0.9470899470899471,0.9470899470899471,0.9470899470899471,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.8664799253034546,0.4584361072460783
Cal@topt_ens,0.33984178602695464,156,33,5,12,0.968944099378882,0.8253968253968254,0.8914285714285715,0.26666666666666666,0.7058823529411765,0.3870967741935484,0.8664799253034546,0.4584361072460783
