Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.4666666666666667,0.4117647058823529,0.4117647058823529,0.9576719576719577,181,8,10,7
Calibrated ensemble,0.33984178602695464,0.26666666666666666,0.7058823529411765,0.7058823529411765,0.8253968253968254,156,33,5,12
