,Mean ± SD
accuracy,0.504 ± 0.349
balanced_accuracy,0.628 ± 0.105
f1_macro,0.391 ± 0.260
auc,0.527 ± 0.322
pr_auc,0.208 ± 0.136
mcc,0.171 ± 0.144
brier,0.156 ± 0.078
TN,72.600 ± 60.122
FP,78.600 ± 59.942
FN,3.000 ± 2.683
TP,10.400 ± 2.728
sensitivity,0.776 ± 0.199
specificity,0.480 ± 0.397
