epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.135704519,0.52887538,0.514523863,0.031311764,0.535031966,0.503050207,249,105,205,99,0.325657895,0.703389831,0.12698918,0.715151515,0.721055089,0.430223318,0.78260193,0.708994709,71,31,16,47,0.746031746,0.696078431
2,0.132249117,0.531914894,0.531734812,0.063494269,0.563913144,0.531702899,182,151,157,168,0.516923077,0.546546547,0.116939349,0.739393939,0.673902894,0.438106458,0.807812014,0.678099905,97,5,38,25,0.396825397,0.950980392
3,0.124989429,0.607902736,0.608160436,0.216348866,0.648338801,0.607899113,201,122,136,199,0.594029851,0.622291022,0.112653345,0.781818182,0.747665733,0.526670803,0.825396825,0.756716907,91,11,25,38,0.603174603,0.892156863
4,0.119841521,0.661094225,0.660778986,0.321699239,0.699885389,0.660811414,208,114,109,227,0.675595238,0.645962733,0.103453541,0.787878788,0.740429505,0.545133808,0.845160286,0.753004576,96,6,29,34,0.53968254,0.941176471
5,0.115565571,0.670212766,0.669409916,0.3402774,0.729675154,0.669166696,239,96,121,202,0.625386997,0.713432836,0.100918844,0.787878788,0.752567694,0.540336873,0.851229381,0.762433667,92,10,25,38,0.603174603,0.901960784
6,0.108065038,0.721884498,0.721750982,0.443635207,0.789078309,0.721775899,244,89,94,231,0.710769231,0.732732733,0.097110713,0.8,0.765406162,0.567803165,0.856053533,0.776008886,93,9,24,39,0.619047619,0.911764706
7,0.109215581,0.724924012,0.723927515,0.449317609,0.773668639,0.724051483,257,81,100,220,0.6875,0.76035503,0.100301781,0.757575758,0.68557423,0.502902739,0.847805789,0.690082645,101,1,39,24,0.380952381,0.990196078
8,0.101822368,0.767477204,0.766711038,0.534810629,0.82918735,0.766890883,269,68,85,236,0.735202492,0.798219585,0.116626934,0.648484848,0.691409897,0.386629041,0.833177716,0.648368607,52,50,8,55,0.873015873,0.509803922
9,0.108345393,0.723404255,0.722378316,0.444756632,0.782063408,0.722378316,218,91,91,258,0.739255014,0.705501618,0.095975152,0.793939394,0.781746032,0.563492063,0.847805789,0.781746032,85,17,17,46,0.73015873,0.833333333
10,0.097179544,0.756838906,0.755733659,0.514068548,0.838958374,0.755844156,270,67,93,228,0.710280374,0.801186944,0.092115275,0.781818182,0.741596639,0.527101636,0.854497354,0.752252252,93,9,27,36,0.571428571,0.911764706
