epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.015040375,0.509863429,0.509662503,0.019351763,0.527744004,0.509411567,0.494522692,0.506410256,0.483180428,0.483180428,0.536144578,0.542897561,178,154,169,158,43.13200688,1.981378078,2.403954125,0.158536585,0.437595517,-0.10535257,0.578706062,0.157408786,0.126582278,0.068965517,0.769230769,0.769230769,0.105960265,0.283426067,16,135,3,10,7.994881153,2.804226398
2,2.038228707,0.535660091,0.535498489,0.071177499,0.561555891,0.534990868,0.552631579,0.535410765,0.570996979,0.570996979,0.5,0.569829764,164,164,142,189,43.96855402,1.983453274,1.002380389,0.87804878,0.687722873,0.31691773,0.774325013,0.653716216,0.375,0.315789474,0.461538462,0.461538462,0.913907285,0.22662133,138,13,7,6,8.060513735,2.804744244
3,1.893065958,0.569044006,0.568874771,0.137589556,0.588362666,0.568605938,0.582352941,0.592814371,0.572254335,0.572254335,0.565495208,0.601525751,177,136,148,198,49.07983065,1.983453274,1.696687227,0.5,0.728476821,0.250060989,0.883596536,0.434006734,0.240740741,0.136842105,1,1,0.456953642,0.458755603,69,82,0,13,7.850516081,2.804744244
4,1.604259047,0.623672231,0.623535426,0.247241715,0.695281124,0.623477155,0.632047478,0.622807018,0.641566265,0.641566265,0.605504587,0.705321328,198,129,119,213,43.19450784,1.983453274,0.994675488,0.829268293,0.907284768,0.50821073,0.93326541,0.68964585,0.481481481,0.317073171,1,1,0.814569536,0.507009951,123,28,0,13,8.01643014,2.804744244
5,1.517070243,0.640364188,0.640194236,0.280406558,0.692388139,0.640201804,0.63255814,0.633540373,0.631578947,0.631578947,0.648809524,0.682532823,218,118,119,204,48.91981435,1.983453274,1.060779199,0.768292683,0.663270504,0.207209933,0.730514519,0.565774805,0.269230769,0.179487179,0.538461538,0.538461538,0.78807947,0.342071873,119,32,6,7,8.119778395,2.804744244
6,1.386089087,0.707132018,0.707464173,0.414679853,0.783254025,0.707064565,0.711509716,0.725609756,0.697947214,0.697947214,0.716981132,0.789650259,228,90,103,238,43.537503,1.983453274,0.744363468,0.841463415,0.773306164,0.37716632,0.856342333,0.658770807,0.409090909,0.290322581,0.692307692,0.692307692,0.854304636,0.441602479,129,22,4,9,7.909956694,2.804744244
7,1.240520972,0.717754173,0.717273649,0.434747763,0.797275493,0.717347391,0.728070175,0.723837209,0.732352941,0.732352941,0.702194357,0.789766587,224,95,91,249,43.09122705,1.983453274,0.71685509,0.847560976,0.741467142,0.346736625,0.83953133,0.651567944,0.390243902,0.285714286,0.615384615,0.615384615,0.867549669,0.387030836,131,20,5,8,7.840878725,2.804744244
8,1.277578166,0.71016692,0.710211138,0.420232466,0.782541951,0.710036053,0.716196137,0.723723724,0.708823529,0.708823529,0.711598746,0.766256739,227,92,99,241,43.65706372,1.983453274,1.263421026,0.725609756,0.815843097,0.359878287,0.873153337,0.587040457,0.347826087,0.214285714,0.923076923,0.923076923,0.708609272,0.330579041,107,44,1,12,8.017474651,2.804744244
9,0.99849391,0.792109256,0.790638003,0.582181068,0.861909385,0.791000447,0.775777414,0.784768212,0.766990291,0.766990291,0.814285714,0.823067211,285,65,72,237,43.73482823,1.983453274,0.696700559,0.884146341,0.726184412,0.373470731,0.834182374,0.679917822,0.424242424,0.35,0.538461538,0.538461538,0.913907285,0.38177387,138,13,6,7,7.777140141,2.804744244
10,0.820839303,0.836115326,0.836231203,0.672332323,0.904996867,0.836096833,0.834355828,0.82674772,0.842105263,0.842105263,0.830357143,0.894275858,279,57,51,272,43.54327703,1.983453274,0.83227307,0.847560976,0.706316862,0.305209925,0.804890474,0.636234584,0.358974359,0.269230769,0.538461538,0.538461538,0.874172185,0.297965677,132,19,6,7,8.003684282,2.804744244
