epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.346791848,0.477996965,0.478014184,-0.043982976,0.487846551,0.477938061,0.472392638,0.47826087,0.466666667,0.466666667,0.489361702,0.490386862,161,168,176,154,46.57248116,3.707473278,4.023142164,0.719512195,0.496179317,-0.004848906,0.532093734,0.474358974,0.115384615,0.076923077,0.230769231,0.230769231,0.761589404,0.101765748,115,36,10,3,7.576113462,4.719641209
2,1.959443254,0.575113809,0.574047448,0.148602527,0.595434939,0.573770189,0.549839228,0.568106312,0.53271028,0.53271028,0.615384615,0.559098353,208,130,150,171,47.80820513,3.707473278,1.955297182,0.329268293,0.565461029,0.079267149,0.71192053,0.302721088,0.166666667,0.092436975,0.846153846,0.846153846,0.284768212,0.234956349,43,108,2,11,7.4673388,4.70828867
3,1.909474871,0.59939302,0.599089887,0.198516535,0.62932718,0.598904443,0.612903226,0.598853868,0.627627628,0.627627628,0.570552147,0.629633035,186,140,124,209,46.34859204,3.707473278,1.422448312,0.676829268,0.64875191,0.169491064,0.681355069,0.513625427,0.231884058,0.142857143,0.615384615,0.615384615,0.682119205,0.222004272,103,48,5,8,7.670228481,4.70828867
4,1.603107819,0.625189681,0.625262576,0.250492844,0.673493643,0.625175872,0.622900763,0.616314199,0.62962963,0.62962963,0.620895522,0.658750311,208,127,120,204,53.62403107,3.707473278,1.238440167,0.743902439,0.614875191,0.143341488,0.690524707,0.534468775,0.222222222,0.146341463,0.461538462,0.461538462,0.768211921,0.319917049,116,35,7,6,7.635974169,4.70828867
5,1.726977264,0.634294385,0.63368062,0.267521613,0.688488844,0.633724242,0.619273302,0.624203822,0.614420063,0.614420063,0.652941176,0.688794708,222,118,123,196,54.31127143,3.707473278,5.914435473,0.225609756,0.509169638,0.013167214,0.714212939,0.2190769,0.147651007,0.080882353,0.846153846,0.846153846,0.17218543,0.339311525,26,125,2,11,7.500086069,3.748916626
6,1.50038849,0.658573596,0.654106788,0.309146058,0.71463961,0.654448761,0.61669506,0.626297578,0.60738255,0.60738255,0.700831025,0.682422257,253,108,117,181,47.19066596,2.737312794,1.700589368,0.737804878,0.576413653,0.096143575,0.720580744,0.516157804,0.188679245,0.125,0.384615385,0.384615385,0.768211921,0.165362031,116,35,8,5,7.654717684,3.748916626
7,1.385341851,0.673748103,0.673533963,0.347384871,0.744919766,0.673504518,0.664586583,0.676190476,0.653374233,0.653374233,0.693693694,0.737107876,231,102,113,213,46.70278788,2.737312794,0.957794876,0.829268293,0.590932247,0.141492882,0.697401936,0.563165906,0.222222222,0.173913043,0.307692308,0.307692308,0.874172185,0.196619026,132,19,9,4,7.587635517,3.748916626
8,1.425945972,0.699544765,0.698137215,0.39627443,0.761951251,0.698137215,0.71875,0.71875,0.71875,0.71875,0.67752443,0.770429652,208,99,99,253,53.40609956,2.737312794,1.25922121,0.707317073,0.735608762,0.269641658,0.768721345,0.554751131,0.294117647,0.181818182,0.769230769,0.769230769,0.701986755,0.323036923,106,45,3,10,7.486489296,3.748916626
9,1.288974505,0.702579666,0.702804031,0.405877345,0.782595479,0.702524182,0.698461538,0.716088328,0.681681682,0.681681682,0.72392638,0.77077463,236,90,106,227,46.55953264,2.737312794,0.929650186,0.81097561,0.756749873,0.335153799,0.792154865,0.628117914,0.367346939,0.25,0.692307692,0.692307692,0.821192053,0.295360556,124,27,4,9,7.673064947,3.748916626
10,1.23297327,0.704097117,0.704160055,0.408015307,0.796494999,0.70387619,0.695787832,0.686153846,0.705696203,0.705696203,0.702623907,0.780765735,241,102,93,223,53.69244027,2.737312794,2.291669416,0.451219512,0.596535914,0.106109872,0.763372389,0.384487073,0.181818182,0.103092784,0.769230769,0.769230769,0.42384106,0.347026333,64,87,3,10,7.462337255,3.748916626
11,1.161610193,0.763277693,0.763282417,0.526288205,0.819700408,0.763080752,0.769911504,0.776785714,0.763157895,0.763157895,0.76340694,0.810410075,242,75,81,261,46.52978516,2.737312794,1.533797792,0.676829268,0.57845135,0.091091926,0.687213449,0.491547236,0.184615385,0.115384615,0.461538462,0.461538462,0.695364238,0.147695228,105,46,7,6,7.726825953,3.748916626
12,1.175906728,0.770864947,0.770980826,0.541751943,0.834393437,0.770788945,0.774962742,0.78313253,0.766961652,0.766961652,0.775,0.797252926,248,72,79,260,46.71039462,2.737312794,1.90395065,0.62195122,0.689251146,0.207129671,0.760061131,0.495934959,0.243902439,0.144927536,0.769230769,0.769230769,0.609271523,0.264739126,92,59,3,10,7.469769478,3.748916626
13,0.936626299,0.804248862,0.803981991,0.607891075,0.882869875,0.803943681,0.811678832,0.812865497,0.810495627,0.810495627,0.797468354,0.897972874,252,64,65,278,46.84478211,2.737312794,1.422408068,0.786585366,0.638053999,0.184004313,0.732042792,0.565381994,0.255319149,0.176470588,0.461538462,0.461538462,0.814569536,0.212787178,123,28,7,6,7.595854282,3.748916626
14,0.794330488,0.836115326,0.835948737,0.671897474,0.913507284,0.835948737,0.830721003,0.830721003,0.830721003,0.830721003,0.841176471,0.895990057,286,54,54,265,46.94217825,2.737312794,0.977473596,0.792682927,0.641365257,0.190519843,0.781966378,0.570151095,0.260869565,0.181818182,0.461538462,0.461538462,0.821192053,0.241559862,124,27,7,6,7.711770296,3.748916626
15,0.748154055,0.852807284,0.852880223,0.706046647,0.922058065,0.852785589,0.854572714,0.840707965,0.868902439,0.868902439,0.836858006,0.910391796,277,54,43,285,46.70786142,2.737312794,1.089974769,0.786585366,0.708354559,0.266818589,0.757004585,0.59368585,0.31372549,0.210526316,0.615384615,0.615384615,0.801324503,0.265828552,121,30,5,8,7.836373806,3.748916626
16,0.63423456,0.875569044,0.875966204,0.751412765,0.94750678,0.875504543,0.872670807,0.859327217,0.886435331,0.886435331,0.865497076,0.927922658,296,46,36,281,46.85791254,2.737312794,1.190157843,0.768292683,0.698420785,0.247589843,0.7552216,0.578805082,0.296296296,0.195121951,0.615384615,0.615384615,0.781456954,0.21540841,118,33,5,8,7.473137856,3.748916626
17,0.590848304,0.883156297,0.882655513,0.765452542,0.950665496,0.882724224,0.889842632,0.888571429,0.891117479,0.891117479,0.874193548,0.948796019,271,39,38,311,46.83063698,2.737312794,0.994188308,0.817073171,0.689760571,0.261872235,0.785277636,0.606274008,0.318181818,0.225806452,0.538461538,0.538461538,0.841059603,0.234264446,127,24,6,7,7.592026711,3.748916626
18,0.556987683,0.91198786,0.911217109,0.823841578,0.957130863,0.911709539,0.916666667,0.90368272,0.930029155,0.930029155,0.892405063,0.935568748,282,34,24,319,46.72565007,2.737312794,0.844353432,0.853658537,0.63932756,0.22529394,0.801069791,0.606242497,0.294117647,0.238095238,0.384615385,0.384615385,0.894039735,0.244821706,135,16,8,5,7.511053562,3.748916626
19,0.418779297,0.916540212,0.916546928,0.833116877,0.976752326,0.916539444,0.916792738,0.912650602,0.920972644,0.920972644,0.912121212,0.976442625,301,29,26,303,46.71490502,2.737312794,0.881918643,0.87195122,0.649261335,0.258003018,0.775598574,0.625936787,0.322580645,0.277777778,0.384615385,0.384615385,0.913907285,0.26160211,138,13,8,5,7.660111666,3.748916626
20,0.47443493,0.919575114,0.919600258,0.839625966,0.969494335,0.91955659,0.92077728,0.905882353,0.936170213,0.936170213,0.903030303,0.964040682,298,32,21,308,46.9864161,2.737312794,0.937083705,0.829268293,0.626082527,0.189525497,0.781966378,0.583303085,0.263157895,0.2,0.384615385,0.384615385,0.867549669,0.293072318,131,20,8,5,7.629704475,3.748916626
21,0.4532726,0.916540212,0.917710801,0.833687585,0.969767915,0.916366892,0.912559618,0.891304348,0.93485342,0.93485342,0.900568182,0.958751256,317,35,20,287,46.83668041,2.737312794,0.829996301,0.87195122,0.684411615,0.304496407,0.780947529,0.646224961,0.363636364,0.3,0.461538462,0.461538462,0.907284768,0.322569228,137,14,7,6,7.739584208,3.748916626
22,0.362779007,0.940819423,0.94078219,0.881458664,0.981926043,0.94072716,0.938388626,0.936908517,0.939873418,0.939873418,0.941690962,0.972741037,323,20,19,297,53.47597194,2.737312794,0.942270769,0.853658537,0.63932756,0.22529394,0.788843607,0.606242497,0.294117647,0.238095238,0.384615385,0.384615385,0.894039735,0.274587606,135,16,8,5,7.591261387,3.748916626
23,0.455901316,0.927162367,0.927433473,0.854748817,0.971855189,0.927160858,0.926829268,0.912912913,0.941176471,0.941176471,0.913690476,0.969248718,307,29,19,304,46.79762936,2.737312794,0.852354457,0.884146341,0.585583291,0.177568821,0.757768721,0.588646865,0.24,0.25,0.230769231,0.230769231,0.940397351,0.302792461,142,9,10,3,7.543778658,3.748916626
24,0.444940284,0.915022762,0.915049751,0.83003068,0.971609545,0.915006909,0.913846154,0.911042945,0.916666667,0.916666667,0.913432836,0.968221971,306,29,27,297,47.05095029,2.737312794,0.968824341,0.87804878,0.652572593,0.270447857,0.769994906,0.63310962,0.333333333,0.294117647,0.384615385,0.384615385,0.920529801,0.279141449,139,12,8,5,7.687274456,3.748916626
25,0.405714547,0.913505311,0.913672875,0.827513469,0.977951878,0.913502124,0.914027149,0.899109792,0.929447853,0.929447853,0.897897898,0.973892613,299,34,23,303,46.45847869,2.737312794,0.865289105,0.841463415,0.597554763,0.157746945,0.750891493,0.573429372,0.235294118,0.19047619,0.307692308,0.307692308,0.887417219,0.261211293,134,17,9,4,7.588737965,3.748916626
26,0.304752542,0.945371775,0.945361585,0.890723169,0.987508061,0.945361585,0.944615385,0.944615385,0.944615385,0.944615385,0.946107784,0.985555946,316,18,18,307,46.82403517,2.737312794,0.99470728,0.823170732,0.622771268,0.181618745,0.769740194,0.578032118,0.256410256,0.192307692,0.384615385,0.384615385,0.860927152,0.225453757,130,21,8,5,7.65042758,3.748916626
27,0.250366458,0.95599393,0.954847592,0.911471388,0.992221975,0.95562609,0.959666203,0.950413223,0.969101124,0.969101124,0.940594059,0.993050256,285,18,11,345,47.59069943,2.737312794,0.945173732,0.865853659,0.681100357,0.292840935,0.771777891,0.639055622,0.352941176,0.285714286,0.461538462,0.461538462,0.900662252,0.254042867,136,15,7,6,7.754235744,3.748916626
28,0.298759451,0.942336874,0.942284661,0.884658975,0.987936435,0.942320803,0.943283582,0.94047619,0.946107784,0.946107784,0.938461538,0.987035715,305,20,18,316,46.84368229,2.737312794,1.077339631,0.829268293,0.661232807,0.23490994,0.773815588,0.601388889,0.3,0.222222222,0.461538462,0.461538462,0.860927152,0.244720714,130,21,7,6,7.815447807,3.748916626
29,0.381659842,0.93323217,0.932418756,0.865327762,0.978816156,0.932655147,0.938888889,0.936288089,0.941504178,0.941504178,0.923333333,0.979454137,277,23,21,338,47.03654885,2.737312794,0.923307404,0.847560976,0.671166582,0.261661294,0.785277636,0.619206836,0.324324324,0.25,0.461538462,0.461538462,0.880794702,0.23998032,133,18,7,6,7.557578802,3.748916626
30,0.340747315,0.936267071,0.936289951,0.872941794,0.983660311,0.936255182,0.937125749,0.923303835,0.951367781,0.951367781,0.921212121,0.98128489,304,26,16,313,46.85821414,2.737312794,0.908847901,0.87195122,0.649261335,0.258003018,0.775343861,0.625936787,0.322580645,0.277777778,0.384615385,0.384615385,0.913907285,0.235522523,138,13,8,5,7.753729582,3.748916626
31,0.314733155,0.942336874,0.941516864,0.88393516,0.98585063,0.941932402,0.946778711,0.941504178,0.952112676,0.952112676,0.930921053,0.986181126,283,21,17,338,47.35145164,2.737312794,0.947755006,0.859756098,0.642638818,0.235522083,0.777126847,0.612532101,0.303030303,0.25,0.384615385,0.384615385,0.900662252,0.247909823,136,15,8,5,7.573129177,3.748916626
32,0.271131352,0.949924127,0.949445215,0.899439493,0.98939436,0.949699892,0.953058321,0.949008499,0.957142857,0.957142857,0.941747573,0.989220712,291,18,15,335,46.61970687,2.737312794,0.915120615,0.884146341,0.655883851,0.283857533,0.779419256,0.640641218,0.344827586,0.3125,0.384615385,0.384615385,0.927152318,0.241509541,140,11,8,5,7.76051116,3.748916626
33,0.354873313,0.949924127,0.949863612,0.899793562,0.982670439,0.949894591,0.951111111,0.949704142,0.952522255,0.952522255,0.947204969,0.983351023,305,17,16,321,47.03045535,2.737312794,0.907841184,0.87195122,0.649261335,0.258003018,0.775853286,0.625936787,0.322580645,0.277777778,0.384615385,0.384615385,0.913907285,0.250109277,138,13,8,5,7.543132067,3.748916626
34,0.342605227,0.945371775,0.946153562,0.891846673,0.983317656,0.945365611,0.944785276,0.922155689,0.968553459,0.968553459,0.923753666,0.977675393,315,26,10,308,46.68786335,2.737312794,0.897330991,0.87195122,0.649261335,0.258003018,0.777636271,0.625936787,0.322580645,0.277777778,0.384615385,0.384615385,0.913907285,0.247537026,138,13,8,5,7.59548521,3.748916626
35,0.373264636,0.940819423,0.941125792,0.882162177,0.979908411,0.940818878,0.940639269,0.925149701,0.956656347,0.956656347,0.925595238,0.975509099,311,25,14,309,47.04604125,2.737312794,0.905749954,0.884146341,0.620733571,0.233457884,0.765155374,0.616586686,0.296296296,0.285714286,0.307692308,0.307692308,0.933774834,0.25454611,141,10,9,4,7.719515085,3.748916626
36,0.350300031,0.937784522,0.938115843,0.875666339,0.981907591,0.937727165,0.935837246,0.925696594,0.946202532,0.946202532,0.930029155,0.974602291,319,24,17,299,46.91081977,2.737312794,0.916597095,0.896341463,0.662506368,0.314232341,0.77865512,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.244377878,142,9,8,5,7.634908438,3.748916626
37,0.307350108,0.957511381,0.958083002,0.915117759,0.984749053,0.957417151,0.955414013,0.943396226,0.967741935,0.967741935,0.948424069,0.976283905,331,18,10,300,54.0253365,2.737312794,0.85013499,0.87195122,0.578960774,0.152683426,0.789862455,0.57622739,0.222222222,0.214285714,0.230769231,0.230769231,0.927152318,0.245861446,140,11,10,3,7.772354126,3.748916626
38,0.281624125,0.960546282,0.960606312,0.921161712,0.98705761,0.960545465,0.960365854,0.954545455,0.966257669,0.966257669,0.954954955,0.983150665,318,15,11,315,47.43149829,2.737312794,0.920478238,0.890243902,0.65919511,0.298387828,0.781966378,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.243868861,141,10,8,5,7.815826416,3.748916626
39,0.339195574,0.942336874,0.942298126,0.884669599,0.983911826,0.942326117,0.943113772,0.940298507,0.945945946,0.945945946,0.938650307,0.980633468,306,20,18,315,47.98700285,2.737312794,0.879349511,0.865853659,0.645950076,0.24639601,0.789353031,0.619087838,0.3125,0.263157895,0.384615385,0.384615385,0.907284768,0.232906793,137,14,8,5,7.922584772,3.748916626
40,0.314899481,0.945371775,0.945274342,0.890688233,0.986347384,0.945335398,0.946745562,0.943952802,0.949554896,0.949554896,0.940993789,0.986000142,303,19,17,320,48.33571744,2.737312794,0.874748963,0.890243902,0.65919511,0.298387828,0.775853286,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.242510595,141,10,8,5,8.035554647,3.748916626
41,0.272242891,0.949924127,0.949777651,0.899671515,0.990418681,0.949833563,0.951965066,0.950581395,0.95335277,0.95335277,0.946202532,0.990894963,299,17,16,327,47.84183335,2.737312794,0.93976047,0.87804878,0.652572593,0.270447857,0.764136526,0.63310962,0.333333333,0.294117647,0.384615385,0.384615385,0.920529801,0.243575439,139,12,8,5,7.836516857,3.748916626
42,0.270245945,0.962063733,0.961946609,0.92431052,0.989162475,0.962046604,0.962852897,0.952941176,0.972972973,0.972972973,0.950920245,0.987837818,310,16,9,324,47.79018831,2.737312794,0.988728953,0.884146341,0.620733571,0.233457884,0.764136526,0.616586686,0.296296296,0.285714286,0.307692308,0.307692308,0.933774834,0.225178103,141,10,9,4,7.992915392,3.748916626
43,0.238341324,0.957511381,0.957855431,0.915272149,0.99186797,0.95749484,0.956656347,0.944954128,0.968652038,0.968652038,0.947058824,0.990122406,322,18,10,309,46.63627863,2.737312794,0.9507383,0.902439024,0.665817626,0.331635252,0.768721345,0.665817626,0.384615385,0.384615385,0.384615385,0.384615385,0.947019868,0.254194766,143,8,8,5,7.628975153,3.748916626
44,0.292653853,0.952959029,0.953056426,0.905887369,0.988060114,0.952923907,0.951638066,0.947204969,0.956112853,0.956112853,0.95,0.986461724,323,17,14,305,53.47797894,2.737312794,0.897895987,0.87804878,0.652572593,0.270447857,0.781966378,0.63310962,0.333333333,0.294117647,0.384615385,0.384615385,0.920529801,0.252439312,139,12,8,5,7.633264065,3.748916626
45,0.264815483,0.949924127,0.949491876,0.899855499,0.99102252,0.949820135,0.952104499,0.942528736,0.961876833,0.961876833,0.937106918,0.991739421,298,20,13,328,47.55829144,2.737312794,0.944034585,0.87804878,0.547121752,0.101781658,0.753438614,0.550438596,0.166666667,0.181818182,0.153846154,0.153846154,0.940397351,0.240541696,142,9,11,2,7.84969759,3.748916626
46,0.266436906,0.95599393,0.955956855,0.912014524,0.989471648,0.955987444,0.956521739,0.952238806,0.960843373,0.960843373,0.951070336,0.987943192,311,16,13,319,47.13788128,2.737312794,0.969533605,0.87804878,0.582272033,0.164544065,0.778400408,0.582272033,0.230769231,0.230769231,0.230769231,0.230769231,0.933774834,0.239704718,141,10,10,3,7.805840492,3.748916626
47,0.274380891,0.937784522,0.937441252,0.875754544,0.989987467,0.937701894,0.939970717,0.927745665,0.952522255,0.952522255,0.922360248,0.989456567,297,25,16,321,47.26265216,2.737312794,0.844759769,0.87804878,0.582272033,0.164544065,0.788843607,0.582272033,0.230769231,0.230769231,0.230769231,0.230769231,0.933774834,0.263399429,141,10,10,3,7.827666998,3.748916626
48,0.244398835,0.957511381,0.957482868,0.915083745,0.991917508,0.957506586,0.957957958,0.952238806,0.963746224,0.963746224,0.951219512,0.991541101,312,16,12,319,47.39842725,2.737312794,1.014992008,0.890243902,0.588894549,0.192009722,0.763117677,0.595394737,0.25,0.272727273,0.230769231,0.230769231,0.947019868,0.2458523,143,8,10,3,7.817870855,3.748916626
49,0.260679555,0.948406677,0.94843324,0.896883002,0.991410913,0.948406558,0.948484848,0.942771084,0.954268293,0.954268293,0.942598187,0.991468757,312,19,15,313,47.44468999,2.737312794,0.941533178,0.890243902,0.65919511,0.298387828,0.775343861,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.249701372,141,10,8,5,7.838203907,3.748916626
50,0.287584842,0.951441578,0.951225355,0.903083272,0.988704625,0.95140118,0.95280236,0.941690962,0.964179104,0.964179104,0.938271605,0.988950853,304,20,12,323,47.38675427,2.737312794,0.961123424,0.87195122,0.578960774,0.152683426,0.755985736,0.57622739,0.222222222,0.214285714,0.230769231,0.230769231,0.927152318,0.228777139,140,11,10,3,7.753105879,3.748916626
51,0.265987023,0.952959029,0.953738881,0.905892661,0.990594885,0.952767174,0.949756888,0.936102236,0.963815789,0.963815789,0.943661972,0.988390895,335,20,11,293,47.20519757,2.737312794,0.959838329,0.890243902,0.624044829,0.248089659,0.755985736,0.624044829,0.307692308,0.307692308,0.307692308,0.307692308,0.940397351,0.252387497,142,9,9,4,7.914867163,3.748916626
52,0.273000789,0.952959029,0.952731848,0.905923044,0.988824679,0.952906544,0.954478708,0.947521866,0.961538462,0.961538462,0.943925234,0.987449564,303,18,13,325,47.35003209,2.737312794,0.931084078,0.896341463,0.662506368,0.314232341,0.78807947,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.268012337,142,9,8,5,7.836771727,3.748916626
53,0.252087376,0.966616085,0.966606781,0.933213562,0.991086235,0.966606781,0.967164179,0.967164179,0.967164179,0.967164179,0.966049383,0.99035679,313,11,11,324,47.44242954,2.737312794,0.989885415,0.87195122,0.684411615,0.304496407,0.775343861,0.646224961,0.363636364,0.3,0.461538462,0.461538462,0.907284768,0.272583673,137,14,7,6,7.872740746,3.748916626
54,0.291576727,0.95599393,0.956246314,0.912341324,0.987242923,0.955992309,0.955725191,0.942771084,0.969040248,0.969040248,0.943452381,0.983142242,317,19,10,313,47.32369828,2.737312794,0.937471738,0.896341463,0.662506368,0.314232341,0.775853286,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.297987027,142,9,8,5,7.643298864,3.748916626
55,0.202763944,0.963581184,0.963706037,0.927446249,0.994984248,0.9635811,0.963636364,0.952095808,0.975460123,0.975460123,0.951951952,0.994746165,317,16,8,318,47.27830267,2.737312794,0.911557342,0.884146341,0.655883851,0.283857533,0.780947529,0.640641218,0.344827586,0.3125,0.384615385,0.384615385,0.927152318,0.268392566,140,11,8,5,7.764939547,3.748916626
56,0.31652489,0.952959029,0.952921779,0.905943701,0.986008253,0.952952095,0.953523238,0.949253731,0.957831325,0.957831325,0.948012232,0.984879171,310,17,14,318,47.32393622,2.737312794,0.978195363,0.896341463,0.662506368,0.314232341,0.779928681,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.257731706,142,9,8,5,7.47700882,3.748916626
57,0.278097806,0.946889226,0.946976401,0.893755091,0.990790929,0.9468579,0.945567652,0.941176471,0.95,0.95,0.943952802,0.990931771,320,19,16,304,46.68613958,2.737312794,0.951975653,0.890243902,0.69434539,0.344493681,0.775343861,0.669798658,0.4,0.352941176,0.461538462,0.461538462,0.927152318,0.249494701,140,11,7,6,7.614857912,3.748916626
58,0.26572551,0.957511381,0.95753431,0.915448132,0.99032882,0.957503455,0.958083832,0.943952802,0.972644377,0.972644377,0.942424242,0.989434248,311,19,9,320,53.58449459,2.737312794,0.915200206,0.890243902,0.65919511,0.298387828,0.783494651,0.648571429,0.357142857,0.333333333,0.384615385,0.384615385,0.933774834,0.248963387,141,10,8,5,7.713508606,3.748916626
59,0.272507009,0.962063733,0.961789406,0.923988199,0.988805832,0.961974071,0.960127592,0.96474359,0.955555556,0.955555556,0.968023256,0.985941063,333,11,14,301,46.93974185,2.737312794,0.941301718,0.884146341,0.655883851,0.283857533,0.792154865,0.640641218,0.344827586,0.3125,0.384615385,0.384615385,0.927152318,0.238359963,140,11,8,5,7.592643976,3.748916626
60,0.264468984,0.948406677,0.948172757,0.896602055,0.990430048,0.948292255,0.950724638,0.947976879,0.953488372,0.953488372,0.942857143,0.990516121,297,18,16,328,46.47652102,2.737312794,1.011877085,0.890243902,0.588894549,0.192009722,0.767193072,0.595394737,0.25,0.272727273,0.230769231,0.230769231,0.947019868,0.289285375,143,8,10,3,7.610149145,3.748916626
61,0.263054973,0.959028832,0.959061015,0.91809666,0.989342692,0.959028454,0.95890411,0.954545455,0.963302752,0.963302752,0.954819277,0.988324525,317,15,12,315,46.77131701,2.737312794,0.989970148,0.896341463,0.662506368,0.314232341,0.778909832,0.656945983,0.37037037,0.357142857,0.384615385,0.384615385,0.940397351,0.234580971,142,9,8,5,7.619822979,3.748916626
62,0.253987296,0.945371775,0.945315378,0.890991928,0.991765529,0.945356551,0.946268657,0.935103245,0.957703927,0.957703927,0.932926829,0.992176411,306,22,14,317,47.09308195,2.737312794,0.966335923,0.884146341,0.620733571,0.233457884,0.787060621,0.616586686,0.296296296,0.285714286,0.307692308,0.307692308,0.933774834,0.229668611,141,10,9,4,7.636916876,3.748916626
63,0.310796928,0.946889226,0.947288962,0.893827179,0.986523297,0.946806425,0.944707741,0.934375,0.955271565,0.955271565,0.939306358,0.981840433,325,21,14,299,46.65606642,2.737312794,0.98082422,0.884146341,0.655883851,0.283857533,0.771013754,0.640641218,0.344827586,0.3125,0.384615385,0.384615385,0.927152318,0.226670487,140,11,8,5,7.621184826,3.748916626
64,0.28852603,0.95599393,0.956057675,0.912014524,0.987806339,0.955987444,0.955453149,0.951070336,0.959876543,0.959876543,0.952238806,0.983471352,319,16,13,311,47.12122846,2.737312794,0.994287685,0.87804878,0.582272033,0.164544065,0.770759042,0.582272033,0.230769231,0.230769231,0.230769231,0.230769231,0.933774834,0.245062326,141,10,10,3,7.715639114,3.748916626
