epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.20250818295065653,0.5265553869499241,0.526412991415202,0.052862514821071106,0.5345924984341034,0.5263099692205614,166,161,151,181,0.5451807228915663,0.5076452599388379,0.23963107618435128,0.3780487804878049,0.5,0.0,0.7028779253636939,0.2743362831858407,0,102,0,62,1.0,0.0
2,0.16484993364534933,0.5811836115326252,0.581338742393509,0.16259655145563,0.6054029135165038,0.5811054813450023,187,132,144,196,0.5764705882352941,0.5862068965517241,0.14035877411072029,0.5426829268292683,0.6038899430740038,0.22579779523307164,0.6998734977862113,0.5377156387416845,36,66,9,53,0.8548387096774194,0.35294117647058826
3,0.18158102499349324,0.5842185128983308,0.5843972807162992,0.16887080212995081,0.6151918789955599,0.5841715949077912,189,144,130,196,0.6012269938650306,0.5675675675675675,0.13098971609298776,0.6158536585365854,0.6563883617963314,0.31379558345288866,0.7450980392156863,0.6158393753485778,50,52,11,51,0.8225806451612904,0.49019607843137253
4,0.1706985340566572,0.5963581183611533,0.5963125702389507,0.19262514047790122,0.621630833287275,0.5963125702389507,200,133,133,193,0.5920245398773006,0.6006006006006006,0.1799101656041585,0.4817073170731707,0.5801707779886148,0.24293004061233253,0.7624920936116382,0.44344632091667663,18,84,1,61,0.9838709677419355,0.17647058823529413
5,0.156450721422549,0.5918057663125948,0.5913380891813673,0.18276885137034188,0.632412579033715,0.5913503320677644,206,132,137,184,0.573208722741433,0.6094674556213018,0.1605406957451345,0.5548780487804879,0.6263440860215054,0.2878018188943899,0.8110373181530677,0.5459475859976486,34,68,5,57,0.9193548387096774,0.3333333333333333
6,0.14524724361783062,0.6145675265553869,0.6137149887149886,0.2271360261924516,0.6704036704036703,0.6134772408187394,220,131,123,185,0.6006493506493507,0.6267806267806267,0.10057971079652084,0.7195121951219512,0.7144212523719166,0.4204175216766263,0.8034471853257432,0.7084106369820655,75,27,19,43,0.6935483870967742,0.7352941176470589
7,0.14090381212952321,0.6661608497723824,0.6661677474025496,0.3323324337659047,0.7239932576818215,0.6661600810536981,219,109,111,220,0.6646525679758308,0.6676829268292683,0.16341744153192495,0.6097560975609756,0.6704617330803289,0.3633316344938744,0.7928526249209361,0.6068913857677902,43,59,5,57,0.9193548387096774,0.4215686274509804
8,0.14525933022766063,0.6403641881638846,0.6403074853995099,0.28062531109568484,0.706373551465576,0.6403111808151224,207,119,118,215,0.6456456456456456,0.6349693251533742,0.0972055476613161,0.75,0.7420936116382038,0.47762383045105117,0.8146742567994939,0.738070195940945,79,23,18,44,0.7096774193548387,0.7745098039215687
9,0.10550841075318837,0.7329286798179059,0.7328672488117608,0.46581173599398384,0.8195764710217015,0.7328788576692769,237,90,86,246,0.7409638554216867,0.7247706422018348,0.11017506617325835,0.7865853658536586,0.7335547122074636,0.5418908749063864,0.8224225173940544,0.7468131092585242,97,5,30,32,0.5161290322580645,0.9509803921568627
10,0.11572120403377056,0.6889226100151745,0.6887092316196795,0.37755762934410275,0.7816012529942877,0.6887391279304187,235,100,105,219,0.6759259259259259,0.7014925373134329,0.10834688052716779,0.7317073170731707,0.7463630613535737,0.47784568208646405,0.8387096774193549,0.7276570048309179,70,32,12,50,0.8064516129032258,0.6862745098039216
11,0.14664857939915787,0.6722306525037937,0.6720002210799757,0.3443622573337847,0.7416496250852079,0.6719579646017699,212,114,102,231,0.6936936936936937,0.6503067484662577,0.13225142027765355,0.7560975609756098,0.6995572422517394,0.46755982211735847,0.847090449082859,0.7089618456078084,95,7,33,29,0.46774193548387094,0.9313725490196079
12,0.1222781916706343,0.7268588770864947,0.7268628534585981,0.45372988608248754,0.7862070553559916,0.7268582481348439,240,89,91,239,0.7242424242424242,0.729483282674772,0.10919019175557101,0.7317073170731707,0.7337128399746995,0.4554821736358775,0.8172043010752688,0.7236519607843137,74,28,16,46,0.7419354838709677,0.7254901960784313
13,0.11524810214865613,0.7435508345978755,0.7436215091002873,0.48744060620523866,0.8087972514921523,0.7435130361086737,241,90,79,249,0.7591463414634146,0.7280966767371602,0.11487641720464681,0.7378048780487805,0.7386148007590133,0.4656302411877541,0.799652118912081,0.7293417770101708,75,27,16,46,0.7419354838709677,0.7352941176470589
14,0.09293840958059511,0.779969650986343,0.7799406440671717,0.5597729534680925,0.859748566793858,0.7798703018993975,250,71,74,264,0.7810650887573964,0.778816199376947,0.09577963982209019,0.774390243902439,0.7458886780518659,0.5098765448832007,0.8398165717900063,0.752275974688712,88,14,23,39,0.6290322580645161,0.8627450980392157
