Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.8529411764705882,0.7435897435897436,0.7435897435897436,0.921875,118,10,20,58
Calibrated ensemble,0.48371014595031736,0.8108108108108109,0.7692307692307693,0.7692307692307693,0.890625,114,14,18,60
