fold,epoch,train_loss,val_loss,val_dice,best_dice_so_far,best_epoch_so_far,epochs_no_improve,epoch_time_sec
2,1,0.9078614309430122,0.7911570429801941,0.29115423560142517,0.29115423560142517,1,0,38.84722590446472
2,2,0.7083296969532966,0.650880491733551,0.40750059485435486,0.40750059485435486,2,0,38.217015981674194
2,3,0.6170927330851554,0.5831573963165283,0.48505765199661255,0.48505765199661255,3,0,38.89949893951416
2,4,0.5712423399090767,0.5454405844211578,0.5410572290420532,0.5410572290420532,4,0,38.49627947807312
2,5,0.5404123276472091,0.5201265245676041,0.500511646270752,0.5410572290420532,4,1,38.136096239089966
2,6,0.5109699085354805,0.4892901420593262,0.588822066783905,0.588822066783905,6,0,39.33724594116211
2,7,0.4863824285566807,0.4665010541677475,0.6105166673660278,0.6105166673660278,7,0,38.70004343986511
2,8,0.45901926308870317,0.44123515784740447,0.6291689872741699,0.6291689872741699,8,0,38.3764591217041
2,9,0.42977775558829306,0.41123277842998507,0.7016021013259888,0.7016021013259888,9,0,38.444170236587524
2,10,0.4098765552043915,0.3927968263626099,0.7385916709899902,0.7385916709899902,10,0,38.49749279022217
2,11,0.3931479789316654,0.3676501512527466,0.7090145349502563,0.7385916709899902,10,1,38.56643843650818
2,12,0.36216292902827263,0.3514000862836838,0.6594837307929993,0.7385916709899902,10,2,38.390212297439575
2,13,0.3377306342124939,0.3209828123450279,0.7280702590942383,0.7385916709899902,10,3,38.23084878921509
2,14,0.30921062231063845,0.29664051830768584,0.7557662129402161,0.7557662129402161,14,0,39.28319001197815
2,15,0.2920579507946968,0.2766063645482063,0.7603775262832642,0.7603775262832642,15,0,38.81306314468384
2,16,0.2696387693285942,0.25591297149658204,0.7680847644805908,0.7680847644805908,16,0,39.17584562301636
2,17,0.24986972734332086,0.23855196982622145,0.7802950143814087,0.7802950143814087,17,0,39.113691329956055
2,18,0.23209482729434966,0.22958405017852784,0.7644456028938293,0.7802950143814087,17,1,38.21908688545227
2,19,0.2134559340775013,0.21142188757658004,0.7897971272468567,0.7897971272468567,19,0,39.71827721595764
2,20,0.20360059179365636,0.19104541540145875,0.8020742535591125,0.8020742535591125,20,0,38.313756704330444
2,21,0.19180736131966114,0.18833548575639725,0.7724407911300659,0.8020742535591125,20,1,38.29257273674011
2,22,0.19413116425275803,0.1730203427374363,0.8003128170967102,0.8020742535591125,20,2,38.383665800094604
2,23,0.1801324114203453,0.16387377604842185,0.8072592616081238,0.8072592616081238,23,0,38.591034173965454
2,24,0.17031766958534716,0.15496790111064912,0.8179633021354675,0.8179633021354675,24,0,38.551429748535156
2,25,0.16102152708917855,0.15160119757056237,0.8073011636734009,0.8179633021354675,24,1,38.32220816612244
2,26,0.15111265797168016,0.15238191038370133,0.7972993850708008,0.8179633021354675,24,2,38.24280071258545
2,27,0.14575817659497262,0.14619925394654273,0.7993503212928772,0.8179633021354675,24,3,38.781641483306885
2,28,0.1529653612524271,0.13775910511612893,0.8174819946289062,0.8179633021354675,24,4,38.39746379852295
2,29,0.1456671642139554,0.13836532309651375,0.808006763458252,0.8179633021354675,24,5,38.196903705596924
2,30,0.13728115968406202,0.13048783913254738,0.8164508938789368,0.8179633021354675,24,6,38.902552366256714
2,31,0.1279778653755784,0.12210311517119407,0.8264394998550415,0.8264394998550415,31,0,38.48570990562439
2,32,0.1282715316861868,0.12362861782312393,0.819494366645813,0.8264394998550415,31,1,39.41932821273804
2,33,0.12807081062346698,0.13113069534301758,0.8044471740722656,0.8264394998550415,31,2,37.8812301158905
2,34,0.1201772017404437,0.11827705055475235,0.8233942985534668,0.8264394998550415,31,3,38.433907985687256
2,35,0.1147915804758668,0.11721255481243134,0.8242884874343872,0.8264394998550415,31,4,38.330156564712524
2,36,0.11746284030377865,0.11945333331823349,0.8173004388809204,0.8264394998550415,31,5,38.43298625946045
2,37,0.12130694128572941,0.1120220549404621,0.8288909792900085,0.8288909792900085,37,0,38.45174527168274
2,38,0.11146692801266908,0.1104906104505062,0.8291201591491699,0.8291201591491699,38,0,38.58234977722168
2,39,0.11132093369960785,0.121859560161829,0.8053785562515259,0.8291201591491699,38,1,38.02710509300232
2,40,0.10873166108503937,0.11060592830181122,0.8257001638412476,0.8291201591491699,38,2,38.920098304748535
2,41,0.10402648858726024,0.10898115038871765,0.8260111808776855,0.8291201591491699,38,3,37.77097702026367
