,Mean ± SD
acc,0.683 ± 0.156
bal_acc,0.646 ± 0.194
f1_macro,0.612 ± 0.219
auc,0.578 ± 0.322
pr,0.559 ± 0.254
mcc,0.279 ± 0.397
brier,0.198 ± 0.046
TN,81.600 ± 13.336
FP,20.400 ± 13.336
FN,31.800 ± 23.995
TP,30.800 ± 24.078
sensitivity,0.492 ± 0.384
specificity,0.800 ± 0.131
