row,threshold,TN,FP,FN,TP,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc,pr_auc
Raw@0.5,0.5,111,17,18,60,0.8604651162790697,0.8671875,0.8638132295719845,0.7792207792207793,0.7692307692307693,0.7741935483870968,0.8649839743589745,0.8189943246346806
Cal@0.5,0.5,113,15,19,59,0.8560606060606061,0.8828125,0.8692307692307693,0.7972972972972973,0.7564102564102564,0.7763157894736842,0.8740985576923077,0.8307574951757495
Cal@topt_ens,0.508796238899231,114,14,19,59,0.8571428571428571,0.890625,0.8735632183908046,0.8082191780821918,0.7564102564102564,0.7814569536423841,0.8740985576923077,0.8307574951757495
