Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.7792207792207793,0.7692307692307693,0.7692307692307693,0.8671875,111,17,18,60
Calibrated ensemble,0.508796238899231,0.8082191780821918,0.7564102564102564,0.7564102564102564,0.890625,114,14,19,59
