Model,Type,Class,Metric,Threshold,CI_lower,CI_upper
Raw ensemble,Overall,NA,Accuracy,0.5,0.7766990291262136,0.8786407766990292
Raw ensemble,Overall,NA,Balanced Accuracy,0.5,0.7662539069977803,0.871059178197336
Raw ensemble,Overall,NA,F1-macro,0.5,0.7660685895980014,0.8700413543795897
Raw ensemble,Overall,NA,Precision,0.5,0.6866371367824238,0.8701623376623376
Raw ensemble,Overall,NA,Recall (Sensitivity),0.5,0.6714236790606654,0.8620925838450637
Raw ensemble,Overall,NA,Specificity,0.5,0.8114641151413451,0.9230916030534352
Raw ensemble,Overall,NA,ROC AUC,probability,0.8088529108515151,0.9123669798063337
Raw ensemble,Overall,NA,PR AUC,probability,0.7258494421298662,0.894734649399183
Raw ensemble,Per-class,0,Precision,0.5,0.8043121231355126,0.9179135062392954
Raw ensemble,Per-class,0,Recall,0.5,0.8030275381552754,0.9236785796900301
Raw ensemble,Per-class,0,F1,0.5,0.816995744680851,0.9058052351375333
Raw ensemble,Per-class,1,Precision,0.5,0.6860006119951041,0.8620797413793103
Raw ensemble,Per-class,1,Recall,0.5,0.6749854651162791,0.8607594936708861
Raw ensemble,Per-class,1,F1,0.5,0.7011904761904763,0.8397904475465036
Calibrated ensemble,Overall,NA,Accuracy,0.508796238899231,0.7864077669902912,0.8883495145631068
Calibrated ensemble,Overall,NA,Balanced Accuracy,0.508796238899231,0.767941680803163,0.8769504501883933
Calibrated ensemble,Overall,NA,F1-macro,0.508796238899231,0.7730307904411765,0.8783864279304168
Calibrated ensemble,Overall,NA,Precision,0.508796238899231,0.7142857142857143,0.8919160231660231
Calibrated ensemble,Overall,NA,Recall (Sensitivity),0.508796238899231,0.662491554054054,0.8529509803921568
Calibrated ensemble,Overall,NA,Specificity,0.508796238899231,0.839392195395845,0.9402068126520681
Calibrated ensemble,Overall,NA,ROC AUC,probability,0.81676315641199,0.922208783481488
Calibrated ensemble,Overall,NA,PR AUC,probability,0.7532975799264043,0.9048508908546771
Calibrated ensemble,Per-class,0,Precision,0.508796238899231,0.7923,0.9136690647482014
Calibrated ensemble,Per-class,0,Recall,0.508796238899231,0.8345551378446115,0.9426229508196722
Calibrated ensemble,Per-class,0,F1,0.508796238899231,0.830180850230956,0.9117675231011945
Calibrated ensemble,Per-class,1,Precision,0.508796238899231,0.7120718050065876,0.8985553109521188
Calibrated ensemble,Per-class,1,Recall,0.508796238899231,0.6588163558106169,0.8493321917808219
Calibrated ensemble,Per-class,1,F1,0.508796238899231,0.7043980866330055,0.8496957403651115
