epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.217599391,0.531914894,0.531703711,0.063415627,0.548389631,0.531702899,168,155,153,182,0.543283582,0.520123839,0.345306971,0.654545455,0.650793651,0.294609574,0.663243075,0.644302409,68,34,23,40,0.634920635,0.666666667
2,0.170301161,0.554711246,0.552068606,0.104063193,0.580804933,0.552020039,157,145,148,208,0.584269663,0.51986755,0.123460747,0.642424242,0.634920635,0.264344945,0.661375661,0.63019943,68,34,25,38,0.603174603,0.666666667
3,0.169583772,0.588145897,0.588213827,0.176464341,0.628856121,0.588122114,191,140,131,196,0.599388379,0.577039275,0.158785031,0.654545455,0.590102708,0.216452742,0.61967009,0.58386797,88,14,43,20,0.317460317,0.862745098
4,0.153846078,0.607902736,0.608089377,0.21620273,0.641129777,0.607899113,201,123,135,199,0.595808383,0.62037037,0.134578186,0.551515152,0.631185808,0.322393591,0.800186741,0.535105087,30,72,2,61,0.968253968,0.294117647
5,0.150891572,0.630699088,0.629571578,0.25990011,0.668719542,0.629527682,189,130,113,226,0.666666667,0.592476489,0.104290037,0.739393939,0.68907563,0.42869746,0.782757547,0.69654848,92,10,33,30,0.476190476,0.901960784
6,0.147343044,0.621580547,0.620687901,0.241618442,0.68773879,0.620738745,220,121,128,189,0.596214511,0.64516129,0.158800578,0.563636364,0.622782446,0.266062852,0.748988484,0.558954559,38,64,8,55,0.873015873,0.37254902
7,0.15860422,0.61550152,0.614489082,0.228703478,0.646881409,0.614281908,221,130,123,184,0.599348534,0.62962963,0.098255468,0.787878788,0.795051354,0.575169924,0.85340803,0.782477683,78,24,11,52,0.825396825,0.764705882
8,0.138368894,0.629179331,0.629140787,0.258233842,0.688276398,0.629093665,202,120,124,212,0.630952381,0.627329193,0.169539803,0.484848485,0.577264239,0.22526203,0.840336134,0.449157535,19,83,2,61,0.968253968,0.18627451
9,0.135585415,0.661094225,0.660513034,0.320896826,0.710237533,0.660434645,203,110,113,232,0.672463768,0.6485623,0.1167652,0.727272727,0.661064426,0.405763028,0.816837846,0.663127807,96,6,39,24,0.380952381,0.941176471
10,0.145340359,0.656534954,0.654828072,0.310289141,0.717522603,0.654992251,194,118,108,238,0.687861272,0.621794872,0.123608614,0.703030303,0.723389356,0.435087026,0.795985061,0.700876836,65,37,12,51,0.80952381,0.637254902
11,0.127309875,0.708206687,0.707945135,0.416028722,0.760162489,0.707988166,224,98,94,242,0.720238095,0.695652174,0.097099237,0.763636364,0.757236228,0.507799379,0.83924681,0.753155088,80,22,17,46,0.73015873,0.784313725
12,0.111135622,0.729483283,0.729323239,0.458646478,0.794073602,0.729323239,248,89,89,232,0.722741433,0.735905045,0.087558169,0.806060606,0.797619048,0.591840118,0.865234983,0.795792079,85,17,15,48,0.761904762,0.833333333
13,0.102475494,0.726443769,0.726560694,0.452920397,0.817469785,0.726352756,245,94,86,233,0.730407524,0.722713864,0.103468551,0.806060606,0.761204482,0.587324625,0.879084967,0.775357386,97,5,27,36,0.571428571,0.950980392
14,0.109846379,0.741641337,0.741477904,0.482759299,0.80462562,0.741352201,233,83,87,255,0.745614035,0.737341772,0.099844747,0.757575758,0.764472456,0.515103031,0.864768129,0.751879699,75,27,13,50,0.793650794,0.735294118
15,0.108125589,0.734042553,0.734035477,0.46807744,0.806028271,0.734037025,243,87,88,240,0.731707317,0.736363636,0.08828556,0.824242424,0.809290383,0.62473595,0.871148459,0.812065512,89,13,16,47,0.746031746,0.87254902
16,0.096240597,0.784194529,0.783857058,0.567714117,0.850136946,0.783857058,271,71,71,245,0.775316456,0.792397661,0.086308363,0.806060606,0.788515406,0.584911859,0.881263617,0.791929382,88,14,18,45,0.714285714,0.862745098
17,0.091917223,0.770516717,0.770787609,0.540996881,0.866374959,0.770282736,264,81,70,243,0.776357827,0.765217391,0.089240862,0.836363636,0.809990663,0.648347851,0.88453159,0.819817998,94,8,19,44,0.698412698,0.921568627
