,Model,WinCount_mean,WinCount_CI95_low,WinCount_CI95_high,WinRate_mean,WinRate_CI95_low,WinRate_CI95_high,MeanRankSum_mean,MeanRankSum_CI95_low,MeanRankSum_CI95_high
2,BC_nnUNet,19.0634,13.0,25.0,0.45389047619047623,0.30952380952380953,0.5952380952380952,16.104738095238094,14.738095238095237,17.5
1,Boundary,12.8648,7.0,19.0,0.3063047619047619,0.16666666666666666,0.4523809523809524,17.260088095238096,16.13095238095238,18.36904761904762
0,Baseline,10.0718,5.0,16.0,0.2398047619047619,0.11904761904761904,0.38095238095238093,20.63517380952381,19.154761904761905,22.035714285714285
