Model,Threshold,Precision,Recall,Sensitivity,Specificity,TN,FP,FN,TP
Raw ensemble,0.5,0.7027027027027027,0.6666666666666666,0.6666666666666666,0.828125,106,22,26,52
Calibrated ensemble,0.503240567445755,0.6875,0.4230769230769231,0.4230769230769231,0.8828125,113,15,45,33
