,Mean ± SD
accuracy,0.566 ± 0.168
balanced_accuracy,0.596 ± 0.125
f1_macro,0.504 ± 0.194
auc,0.786 ± 0.039
precision_recall_auc,0.666 ± 0.070
mcc,0.199 ± 0.272
brier,0.247 ± 0.009
TN,48.400 ± 39.449
FP,53.600 ± 39.449
FN,17.800 ± 19.964
TP,44.800 ± 19.702
sensitivity,0.717 ± 0.317
specificity,0.475 ± 0.387
