epoch,tr_loss,tr_acc,tr_bal_acc,tr_mcc,tr_auc,tr_f1_macro,tr_TN,tr_FP,tr_FN,tr_TP,tr_sensitivity,tr_specificity,va_loss,va_acc,va_bal_acc,va_mcc,va_auc,va_f1_macro,va_TN,va_FP,va_FN,va_TP,va_sensitivity,va_specificity
1,0.23562615092965494,0.4848024316109423,0.4848024316109423,-0.03056860660792235,0.4849086760100147,0.4833406294080451,177,152,187,142,0.4316109422492401,0.5379939209726444,0.28373851213626655,0.38181818181818183,0.5,0.0,0.6403672580143168,0.27631578947368424,0,102,0,63,1.0,0.0
2,0.17728704493775918,0.5258358662613982,0.5258358662613982,0.05167555195992269,0.5285751240287876,0.5258183430804624,171,158,154,175,0.5319148936170213,0.5197568389057751,0.14326338981648526,0.4666666666666667,0.5261437908496732,0.05831653557875939,0.6033302209772797,0.45788530465949817,28,74,14,49,0.7777777777777778,0.27450980392156865
3,0.17054575821243248,0.5592705167173252,0.558461381906991,0.11698338313955814,0.5708576556241154,0.5584710074505993,198,143,147,170,0.5362776025236593,0.5806451612903226,0.36037667202845663,0.6787878787878788,0.6097105508870215,0.27638930921303634,0.7198879551820728,0.603239417449299,92,10,43,20,0.31746031746031744,0.9019607843137255
4,0.16608304270093066,0.5714285714285714,0.5706356328112714,0.141344508578542,0.590996974939175,0.5706511175898932,202,139,143,174,0.5488958990536278,0.592375366568915,0.2181010649189583,0.6060606060606061,0.5873015873015872,0.17315416054977326,0.6216931216931217,0.5863704732153188,68,34,31,32,0.5079365079365079,0.6666666666666666
5,0.17123174585266135,0.5699088145896657,0.5693955276999731,0.13889445230210914,0.5879808092293186,0.5693826817903269,199,138,145,176,0.5482866043613707,0.5905044510385756,0.17547733794493847,0.6484848484848484,0.6701680672268908,0.3324618876644271,0.7018362900715843,0.6469155844155844,59,43,15,48,0.7619047619047619,0.5784313725490197
6,0.15678592031329056,0.5881458966565349,0.5881836659275683,0.1764186806846207,0.5786215816703622,0.5880992804592126,197,131,140,190,0.5757575757575758,0.600609756097561,0.1672445990436946,0.7090909090909091,0.6797385620915033,0.3704792868174742,0.7142857142857143,0.6834026223217141,82,20,28,35,0.5555555555555556,0.803921568627451
7,0.14107052904502757,0.6063829787234043,0.6064075552598507,0.21279053256400443,0.6587842832852813,0.606360249365384,197,127,132,202,0.6047904191616766,0.6080246913580247,0.13312328473036458,0.6363636363636364,0.6633986928104576,0.32124628310161774,0.7589480236539059,0.6357079776273182,56,46,14,49,0.7777777777777778,0.5490196078431373
8,0.13968483974313572,0.6033434650455927,0.6031857491314954,0.20650032449872283,0.6576613201271343,0.6031372259029115,191,135,126,206,0.6204819277108434,0.5858895705521472,0.1097670763912288,0.6424242424242425,0.6774042950513539,0.35278312916102167,0.8023653906006847,0.6423716983211492,54,48,11,52,0.8253968253968254,0.5294117647058824
9,0.1458502398367892,0.5851063829787234,0.5848861283643892,0.16978402677037085,0.6332492236024845,0.5848906615766085,185,137,136,200,0.5952380952380952,0.5745341614906833,0.29545448877545727,0.6666666666666666,0.5908029878618114,0.24216223784510302,0.621537503890445,0.5769033521376288,93,9,46,17,0.2698412698412698,0.9117647058823529
10,0.14333369260183945,0.601823708206687,0.6018477457501847,0.20371807790521806,0.6320352919438286,0.6018089932278241,196,134,128,200,0.6097560975609756,0.593939393939394,0.10040554437500211,0.7636363636363637,0.7208216619981326,0.48520247454417853,0.8148148148148149,0.7303130631574536,92,10,29,34,0.5396825396825397,0.9019607843137255
11,0.13172908029221791,0.6367781155015197,0.6343096931969765,0.2698810907391372,0.6866755595079294,0.6344062024154085,236,110,129,183,0.5865384615384616,0.6820809248554913,0.11998532694127219,0.7393939393939394,0.6951447245564892,0.4287835821553206,0.7855586679116091,0.702652864506936,90,12,31,32,0.5079365079365079,0.8823529411764706
12,0.1307719548036115,0.648936170212766,0.6466312073167342,0.29430741028099233,0.69231909708387,0.646814433396923,239,108,123,188,0.6045016077170418,0.6887608069164265,0.09842756499763555,0.7272727272727273,0.7278244631185807,0.44510672477432217,0.8328664799253034,0.7191861124768352,74,28,17,46,0.7301587301587301,0.7254901960784313
13,0.13144705424334366,0.6337386018237082,0.6335384785983589,0.26716955528607905,0.7060231389073705,0.6335481664467497,201,123,118,216,0.6467065868263473,0.6203703703703703,0.1206838750863919,0.6909090909090909,0.7287581699346405,0.4549045612865806,0.8319327731092437,0.6908636714301459,58,44,7,56,0.8888888888888888,0.5686274509803921
14,0.11533725997546297,0.6884498480243161,0.6884848204796451,0.3769086884270049,0.7695716464119033,0.6884145848492198,223,100,105,230,0.6865671641791045,0.6904024767801857,0.13591390100857578,0.7393939393939394,0.7467320261437909,0.48019645960570007,0.7821350762527233,0.7337611167398401,73,29,14,49,0.7777777777777778,0.7156862745098039
15,0.12112586945436872,0.6869300911854104,0.6866620466620467,0.3737387252367828,0.7562762762762762,0.686640589600614,216,109,97,236,0.7087087087087087,0.6646153846153846,0.09306029251675649,0.7696969696969697,0.7196545284780579,0.5023691263099445,0.8406473700591348,0.7303921568627452,95,7,31,32,0.5079365079365079,0.9313725490196079
16,0.11955108384298879,0.6732522796352584,0.6722000148049448,0.3449030449231837,0.7447211118513584,0.6723251779431555,239,103,112,204,0.6455696202531646,0.6988304093567251,0.09545427257845919,0.7393939393939394,0.692110177404295,0.42852239983320517,0.8291316526610643,0.6996825396825397,91,11,32,31,0.49206349206349204,0.8921568627450981
17,0.10981331801743992,0.7142857142857143,0.7144746577876433,0.4287114728536044,0.7910516093229745,0.7141906566240007,229,89,99,241,0.7088235294117647,0.720125786163522,0.09559461446366756,0.7454545454545455,0.7303921568627451,0.46078431372549017,0.8398692810457516,0.7303921568627451,81,21,21,42,0.6666666666666666,0.7941176470588235
18,0.09739932725290941,0.7613981762917933,0.7613813813813815,0.5227458574181835,0.8413444213444214,0.7613711698601342,247,78,79,254,0.7627627627627628,0.76,0.0987973688619144,0.7696969696969697,0.7773109243697479,0.5401080324108039,0.8529411764705882,0.7642857142857142,76,26,12,51,0.8095238095238095,0.7450980392156863
19,0.1088047443724897,0.7279635258358662,0.7273958419996858,0.4554172878732404,0.8026105364356564,0.7275047138709267,253,84,95,226,0.7040498442367601,0.7507418397626113,0.11816309589937508,0.7515151515151515,0.7170868347338936,0.4589865088128363,0.8113912231559289,0.7241140247135109,88,14,27,36,0.5714285714285714,0.8627450980392157
20,0.10456357701571155,0.7279635258358662,0.7276234924448963,0.45564509292645916,0.8104107943255858,0.7276861577303404,250,85,94,229,0.7089783281733746,0.746268656716418,0.10150486959918704,0.7696969696969697,0.7196545284780579,0.5023691263099445,0.8221288515406162,0.7303921568627452,95,7,31,32,0.5079365079365079,0.9313725490196079
21,0.10492673095479879,0.723404255319149,0.7209781639928698,0.44310970365456276,0.811627302436126,0.7213862289101687,266,86,96,210,0.6862745098039216,0.7556818181818182,0.09355943869934025,0.7878787878787878,0.7738095238095238,0.5493314315595393,0.8358232181761592,0.7746341463414634,85,17,18,45,0.7142857142857143,0.8333333333333334
22,0.10329269254360755,0.7446808510638298,0.7441916389197187,0.4886183339464887,0.8164955604883462,0.7442815900510771,258,82,86,232,0.7295597484276729,0.7588235294117647,0.10185542437865074,0.7636363636363637,0.6965452847805789,0.5087725672749509,0.872549019607843,0.7041243275552899,100,2,37,26,0.4126984126984127,0.9803921568627451
23,0.10492454316767108,0.7492401215805471,0.748999768999769,0.4984810944592784,0.8164887964887965,0.7490308666375407,256,77,88,237,0.7292307692307692,0.7687687687687688,0.08556310408916998,0.7575757575757576,0.7341269841269842,0.4784125034624061,0.8537192654839714,0.7380952380952381,85,17,23,40,0.6349206349206349,0.8333333333333334
24,0.09079894464743242,0.7781155015197568,0.7781196581196581,0.5562084808650346,0.8586186186186187,0.7780970507798064,259,74,72,253,0.7784615384615384,0.7777777777777778,0.08990188621276293,0.7757575757575758,0.7488328664799253,0.515287644936908,0.8671023965141611,0.7550258817864453,88,14,23,40,0.6349206349206349,0.8627450980392157
25,0.09265934387405933,0.7781155015197568,0.7784859894354145,0.5566013676521322,0.8570450613800568,0.7780416801441707,250,67,79,262,0.7683284457478006,0.7886435331230284,0.09751231329380927,0.7878787878787878,0.7373949579831933,0.5478708427564036,0.856364768129474,0.7503134592935277,97,5,30,33,0.5238095238095238,0.9509803921568627
26,0.0771910981473295,0.8161094224924013,0.8167253863012178,0.6333014556592533,0.9042361361555746,0.816105599889134,267,52,69,270,0.7964601769911505,0.8369905956112853,0.13971292009122716,0.7757575757575758,0.7913165266106442,0.5661343509534547,0.8412698412698412,0.7724137931034483,74,28,9,54,0.8571428571428571,0.7254901960784313
27,0.074116982796688,0.8389057750759878,0.8380524095047746,0.6772337308309896,0.9126600784662076,0.8384221207038742,294,48,58,258,0.8164556962025317,0.8596491228070176,0.1271860410644482,0.7878787878787878,0.804154995331466,0.5910841821252816,0.8557422969187675,0.7847157502329916,75,27,8,55,0.873015873015873,0.7352941176470589
28,0.07576330502391553,0.8328267477203647,0.8327510351966874,0.6655020703933747,0.909489611061816,0.8327510351966874,267,55,55,281,0.8363095238095238,0.8291925465838509,0.10227820818650492,0.7818181818181819,0.7719421101774042,0.5407794019376188,0.8691254279489573,0.7702660891089108,83,19,17,46,0.7301587301587301,0.8137254901960784
29,0.06726559760978892,0.8632218844984803,0.8619727190957057,0.7252378022795741,0.9287052234307915,0.862490131426183,308,41,49,260,0.8414239482200647,0.8825214899713467,0.12124154549961663,0.7515151515151515,0.7656395891690009,0.5162346886098007,0.8448490507314037,0.7478098788443617,72,30,11,52,0.8253968253968254,0.7058823529411765
30,0.06599581243447665,0.8541033434650456,0.8540927568366592,0.7082116860595896,0.9342572062084258,0.8540979517170653,283,47,49,279,0.850609756097561,0.8575757575757575,0.11604024178253106,0.7696969696969697,0.765172735760971,0.5223589781126694,0.8496732026143792,0.7601010101010102,80,22,16,47,0.746031746031746,0.7843137254901961
31,0.05844119963668553,0.8814589665653495,0.8813148820913872,0.7627566928545298,0.9477430507409155,0.8813701923076923,281,40,38,299,0.887240356083086,0.8753894080996885,0.09821383509902755,0.7878787878787878,0.7798786181139122,0.5551118676448613,0.8524743230625582,0.7772764086544024,83,19,16,47,0.746031746031746,0.8137254901960784
32,0.06009641702720007,0.8799392097264438,0.8799392097264438,0.7603035007446324,0.9442494064171617,0.8799056470821984,284,45,34,295,0.8966565349544073,0.8632218844984803,0.10465491644782855,0.7575757575757576,0.7492997198879552,0.4932552400193858,0.8432928727046374,0.7461538461538462,80,22,18,45,0.7142857142857143,0.7843137254901961
33,0.050385287937023154,0.9012158054711246,0.8999832887700534,0.8013478372526297,0.9609096479500889,0.9005707245062826,323,29,36,270,0.8823529411764706,0.9176136363636364,0.11638822966270676,0.7393939393939394,0.7012138188608776,0.4304717049206153,0.8408029878618114,0.7081327903245711,88,14,29,34,0.5396825396825397,0.8627450980392157
34,0.05028325392783967,0.8966565349544073,0.8963374028856825,0.793056315668318,0.9606409544950055,0.8964949293063883,308,32,36,282,0.8867924528301887,0.9058823529411765,0.11426482011889477,0.7696969696969697,0.7560690943043884,0.5121381886087768,0.8411142234671646,0.7560690943043884,83,19,19,44,0.6984126984126984,0.8137254901960784
35,0.05053532037138797,0.9072948328267477,0.9061562968515742,0.8120197046333356,0.9598435157421289,0.906007704286534,260,30,31,337,0.9157608695652174,0.896551724137931,0.11596909337656022,0.7515151515151515,0.7292250233426704,0.4665052077436218,0.843448490507314,0.7324923879947803,84,18,23,40,0.6349206349206349,0.8235294117647058
36,0.04872926624791164,0.9072948328267477,0.9071402145763966,0.8143670525269603,0.9639428412874584,0.9071814261102824,287,31,30,310,0.9117647058823529,0.9025157232704403,0.1169500901533504,0.7333333333333333,0.7205882352941176,0.43865796981205984,0.8392468098350451,0.7192141089108911,79,23,21,42,0.6666666666666666,0.7745098039215687
37,0.03903763427605745,0.9209726443768997,0.9204772475027747,0.8418894085738694,0.9768775434702184,0.9208080284402311,318,22,30,288,0.9056603773584906,0.9352941176470588,0.11901366499782798,0.7393939393939394,0.7254901960784313,0.44965284609740264,0.8341114223467164,0.7247973313680618,80,22,21,42,0.6666666666666666,0.7843137254901961
38,0.03788140194566983,0.9194528875379939,0.9194487577639752,0.8388471204663561,0.9785427758059745,0.9194214350905163,296,26,27,309,0.9196428571428571,0.9192546583850931,0.13282511121991752,0.7454545454545455,0.742530345471522,0.4759631614172375,0.8366013071895424,0.7361407249466951,77,25,17,46,0.7301587301587301,0.7549019607843137
39,0.032189990989074796,0.9361702127659575,0.9357521485332618,0.8722308063971876,0.9854898840855899,0.9360372537401866,323,18,24,293,0.9242902208201893,0.9472140762463344,0.14106717873932736,0.7454545454545455,0.7334267040149394,0.46418832784344954,0.8319327731092436,0.7319771039603961,80,22,20,43,0.6825396825396826,0.7843137254901961
40,0.04552117913990072,0.9148936170212766,0.9146429363495232,0.8300532611932487,0.9684335033636432,0.9148149175613319,311,23,33,291,0.8981481481481481,0.9311377245508982,0.14187877851973865,0.7696969696969697,0.7530345471521942,0.5093292164576556,0.8316215375038905,0.7545411838396492,84,18,20,43,0.6825396825396826,0.8235294117647058
41,0.03842337215552814,0.9179331306990881,0.9177884615384615,0.8357314735125511,0.9773946005917159,0.9178572419341415,292,28,26,312,0.9230769230769231,0.9125,0.1414577197272987,0.7454545454545455,0.7334267040149394,0.46418832784344954,0.8314659197012139,0.7319771039603961,80,22,20,43,0.6825396825396826,0.7843137254901961
42,0.039510305921545696,0.9240121580547113,0.9236713904064635,0.8480957444722647,0.9764136553980975,0.9239109318482475,292,29,21,316,0.9376854599406528,0.9096573208722741,0.1420612203575992,0.7515151515151515,0.7352941176470589,0.4720597468133126,0.8299097416744476,0.736,82,20,21,42,0.6666666666666666,0.803921568627451
43,0.03608273379476373,0.9346504559270516,0.9346729490022172,0.86940614164804,0.9795639320029563,0.9346490974812625,306,24,19,309,0.9420731707317073,0.9272727272727272,0.13952172009464767,0.7575757575757576,0.7401960784313726,0.48348686691413983,0.8314659197012139,0.7416222987785781,83,19,21,42,0.6666666666666666,0.8137254901960784
44,0.04319788599774273,0.9240121580547113,0.9234504294967428,0.8475293744256861,0.9710796260088772,0.9237303066551683,284,27,23,324,0.9337175792507204,0.9131832797427653,0.1324800213633024,0.7696969696969697,0.7621381886087768,0.5186569611814328,0.8336445689386865,0.758846153846154,81,21,17,46,0.7301587301587301,0.7941176470588235
45,0.038698778841587914,0.9164133738601824,0.9167407736771899,0.8327528833818433,0.9777771602193567,0.9162723981167652,288,24,31,315,0.9104046242774566,0.9230769230769231,0.13128137974284523,0.7636363636363637,0.7542016806722689,0.5041841733655162,0.8323996265172735,0.7518222839291913,81,21,18,45,0.7142857142857143,0.7941176470588235
46,0.039129807129109524,0.9316109422492401,0.931560463934199,0.8631727812171929,0.9767524606071808,0.9315842373410044,313,22,23,300,0.9287925696594427,0.9343283582089552,0.141793671253955,0.7696969696969697,0.765172735760971,0.5223589781126694,0.8395580454403984,0.7601010101010102,80,22,16,47,0.746031746031746,0.7843137254901961
47,0.03488600593025578,0.939209726443769,0.9391146642978755,0.878229328595751,0.9814429269375972,0.9391146642978755,296,20,20,322,0.9415204678362573,0.9367088607594937,0.13446475262034835,0.7515151515151515,0.7443977591036415,0.4824554895290911,0.8306878306878306,0.740496375004795,79,23,18,45,0.7142857142857143,0.7745098039215687
