epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.340202553,0.504559271,0.504917184,0.009837642,0.532215875,0.504540961,0.501529052,0.51572327,0.488095238,0.488095238,0.52173913,0.560261381,168,154,172,164,46.8378365,3.383735657,1.82169903,0.806060606,0.634815516,0.194802646,0.752601703,0.58041958,0.272727273,0.2,0.428571429,0.428571429,0.841059603,0.181521714,127,24,8,6,7.581541777,4.395171165
2,1.929838853,0.582066869,0.580984775,0.162093367,0.618751446,0.581013025,0.602026049,0.597701149,0.606413994,0.606413994,0.555555556,0.640212187,175,140,135,208,47.02094769,3.386177063,1.709341933,0.860606061,0.599810785,0.182980429,0.620151372,0.59057072,0.258064516,0.235294118,0.285714286,0.285714286,0.913907285,0.146453745,138,13,10,4,7.57272315,4.391631126
3,2.027809696,0.565349544,0.565100485,0.130309381,0.574659275,0.565024038,0.576923077,0.56851312,0.585585586,0.585585586,0.544615385,0.572154218,177,148,138,195,53.58397937,3.386177063,1.835460945,0.36969697,0.590823084,0.109532051,0.758041627,0.336324257,0.1875,0.105263158,0.857142857,0.857142857,0.324503311,0.358165514,49,102,2,12,7.568377495,4.391631126
4,1.678943916,0.601823708,0.601543082,0.20331172,0.662476322,0.601455507,0.589341693,0.600638978,0.578461538,0.578461538,0.624624625,0.679794292,208,125,137,188,46.41456056,3.386177063,0.788365878,0.878787879,0.642147588,0.267712627,0.768921476,0.633333333,0.333333333,0.3125,0.357142857,0.357142857,0.927152318,0.358204958,140,11,9,5,7.657145023,4.391631126
5,1.473709014,0.639817629,0.638451571,0.277454516,0.685834606,0.63854785,0.617124394,0.628289474,0.606349206,0.606349206,0.670553936,0.665123214,230,113,124,191,53.42835236,3.386177063,1.452021551,0.709090909,0.711447493,0.251146227,0.800141911,0.55545577,0.294117647,0.185185185,0.714285714,0.714285714,0.708609272,0.255054371,107,44,4,10,7.510679483,4.391631126
6,1.378544539,0.679331307,0.679283126,0.358511581,0.746048691,0.679241665,0.684603886,0.687687688,0.681547619,0.681547619,0.677018634,0.748544387,218,104,107,229,46.48500299,3.386177063,1.042688925,0.806060606,0.69962157,0.275052026,0.775780511,0.609929078,0.333333333,0.235294118,0.571428571,0.571428571,0.82781457,0.356228541,125,26,6,8,7.606198072,4.391631126
7,1.245221355,0.726443769,0.724935065,0.450254556,0.794633581,0.725100267,0.705882353,0.710526316,0.701298701,0.701298701,0.748571429,0.763075603,262,88,92,216,46.60166907,3.386177063,1.215810067,0.703030303,0.708136235,0.246066501,0.760406812,0.551057804,0.289855072,0.181818182,0.714285714,0.714285714,0.701986755,0.34837994,106,45,4,10,7.560112238,4.391631126
8,1.301484898,0.700607903,0.700698467,0.401539788,0.785170505,0.700574016,0.703759398,0.692307692,0.71559633,0.71559633,0.685800604,0.78880639,227,104,93,234,46.64852691,3.386177063,0.598934797,0.884848485,0.677861873,0.32606939,0.824503311,0.661775812,0.387096774,0.352941176,0.428571429,0.428571429,0.927152318,0.329860008,140,11,8,6,7.612278223,4.391631126
9,1.343679416,0.712765957,0.712758684,0.425523266,0.787236696,0.712759987,0.711450382,0.712538226,0.710365854,0.710365854,0.715151515,0.780361687,236,94,95,233,53.51827908,3.386177063,0.810643924,0.818181818,0.738647114,0.328824046,0.837748344,0.634308511,0.375,0.264705882,0.642857143,0.642857143,0.834437086,0.317073748,126,25,5,9,7.700167656,4.391631126
10,1.203783054,0.734042553,0.734034297,0.468057782,0.819734459,0.734027196,0.732006126,0.73088685,0.733128834,0.733128834,0.734939759,0.823947314,244,88,87,239,46.74802661,3.386177063,1.016655609,0.818181818,0.706244087,0.290712151,0.768211921,0.621096142,0.347826087,0.25,0.571428571,0.571428571,0.841059603,0.262521986,127,24,6,8,7.619833469,4.391631126
11,1.086935495,0.753799392,0.753781435,0.507431525,0.837444527,0.753687888,0.758928571,0.763473054,0.75443787,0.75443787,0.753125,0.83675601,241,79,83,255,46.7667799,3.386177063,1.059084717,0.8,0.696310312,0.267620823,0.8140965,0.604546445,0.326530612,0.228571429,0.571428571,0.571428571,0.821192053,0.309784973,124,27,6,8,7.902035475,4.391631126
12,1.075184448,0.781155015,0.780767701,0.561784815,0.855193682,0.780863484,0.788856305,0.78425656,0.793510324,0.793510324,0.768025078,0.83799825,245,74,70,269,46.74117422,3.386177063,0.703485953,0.848484848,0.722800378,0.33564253,0.803689688,0.651869356,0.390243902,0.296296296,0.571428571,0.571428571,0.874172185,0.416355772,132,19,6,8,7.646398306,4.391631126
13,0.704722089,0.854103343,0.854160503,0.70813771,0.930894046,0.854037267,0.850931677,0.845679012,0.85625,0.85625,0.852071006,0.914434239,288,50,46,274,46.70256782,3.386177063,0.992400028,0.83030303,0.745269631,0.345720757,0.814333018,0.646356399,0.391304348,0.28125,0.642857143,0.642857143,0.847682119,0.423309606,128,23,5,9,7.569438457,4.391631126
14,0.728756816,0.854103343,0.854185144,0.709314573,0.924805987,0.854017028,0.857566766,0.835260116,0.881097561,0.881097561,0.827272727,0.904170745,273,57,39,289,46.47441578,3.386177063,1.012536021,0.787878788,0.689687796,0.253463852,0.829706717,0.594138731,0.31372549,0.216216216,0.571428571,0.571428571,0.80794702,0.377052,122,29,6,8,7.630276918,4.391631126
15,0.612530879,0.901215805,0.90149015,0.802746583,0.94837165,0.901204624,0.90015361,0.887878788,0.912772586,0.912772586,0.890207715,0.930937566,300,37,28,293,46.45044827,3.386177063,0.724608933,0.860606061,0.729422895,0.356603187,0.813623463,0.665609305,0.41025641,0.32,0.571428571,0.571428571,0.887417219,0.313195257,134,17,6,8,7.581319571,4.391631126
16,0.696837348,0.878419453,0.879235504,0.757797989,0.934143181,0.878379003,0.876160991,0.854984894,0.898412698,0.898412698,0.860058309,0.904503096,295,48,32,283,53.52103162,3.386177063,0.705320646,0.878787879,0.642147588,0.267712627,0.791863765,0.633333333,0.333333333,0.3125,0.357142857,0.357142857,0.927152318,0.30143067,140,11,9,5,7.643636465,4.391631126
17,0.545479029,0.88449848,0.884183858,0.768068408,0.959515391,0.884025974,0.876623377,0.873786408,0.879478827,0.879478827,0.888888889,0.9533187,312,39,37,270,46.52794147,3.386177063,0.946656099,0.842424242,0.71948912,0.325878858,0.790208136,0.645337302,0.380952381,0.285714286,0.571428571,0.571428571,0.867549669,0.336151775,131,20,6,8,7.623101234,4.391631126
18,0.568427042,0.905775076,0.905316521,0.811308808,0.95640027,0.905578803,0.909883721,0.902017291,0.917888563,0.917888563,0.892744479,0.952374298,283,34,28,313,46.39799643,3.386177063,0.832623698,0.878787879,0.642147588,0.267712627,0.791863765,0.633333333,0.333333333,0.3125,0.357142857,0.357142857,0.927152318,0.293627273,140,11,9,5,7.596195459,4.391631126
19,0.499738875,0.902735562,0.902899877,0.80557638,0.963471903,0.902713092,0.901234568,0.892966361,0.909657321,0.909657321,0.896142433,0.951919826,302,35,29,292,47.12737465,3.386177063,0.818607152,0.884848485,0.613055818,0.233873995,0.796594134,0.616795013,0.296296296,0.307692308,0.285714286,0.285714286,0.940397351,0.241011551,142,9,10,4,7.600983143,4.391631126
20,0.380519871,0.94224924,0.942724544,0.884597285,0.979273195,0.942158931,0.939873418,0.928125,0.951923077,0.951923077,0.933526012,0.972823747,323,23,15,297,46.58626175,3.386177063,0.996156399,0.860606061,0.66461684,0.275274419,0.776726585,0.632445521,0.342857143,0.285714286,0.428571429,0.428571429,0.900662252,0.219116721,136,15,8,6,7.564411879,4.391631126
21,0.360176565,0.939209726,0.938805362,0.878163734,0.982326692,0.939046984,0.942196532,0.936781609,0.947674419,0.947674419,0.929936306,0.982805454,292,22,18,326,46.66860366,3.386177063,0.848027697,0.872727273,0.638836329,0.254524909,0.791863765,0.626173266,0.322580645,0.294117647,0.357142857,0.357142857,0.920529801,0.269048297,139,12,9,5,7.665197611,4.391631126
22,0.351181732,0.93768997,0.938217527,0.875855916,0.983690574,0.937665638,0.936434109,0.920731707,0.952681388,0.952681388,0.923753666,0.979998698,315,26,15,302,46.27601171,3.386177063,0.883558756,0.884848485,0.645458846,0.281988479,0.790917692,0.640852331,0.344827586,0.333333333,0.357142857,0.357142857,0.933774834,0.252662336,141,10,9,5,7.612319946,4.391631126
23,0.411266758,0.922492401,0.922533259,0.845312557,0.976686068,0.922483628,0.923308271,0.910979228,0.93597561,0.93597561,0.909090909,0.974725222,300,30,21,307,46.95641732,3.386177063,0.874651005,0.890909091,0.551561022,0.133785542,0.7743614,0.561688312,0.181818182,0.25,0.142857143,0.142857143,0.960264901,0.25441443,145,6,12,2,7.536057949,4.391631126
24,0.273100203,0.962006079,0.962018942,0.924008002,0.98981751,0.962001779,0.962406015,0.963855422,0.960960961,0.960960961,0.963076923,0.988407495,313,12,13,320,46.54634643,3.386177063,0.956881589,0.872727273,0.541627247,0.093004395,0.763245033,0.54557377,0.16,0.181818182,0.142857143,0.142857143,0.940397351,0.218729053,142,9,12,2,7.59958601,4.391631126
25,0.262258111,0.955927052,0.955874741,0.911812693,0.989333777,0.955904136,0.956909361,0.955489614,0.958333333,0.958333333,0.953416149,0.987553365,307,15,14,322,46.59216046,3.386177063,1.015072412,0.878787879,0.60974456,0.21948912,0.759933775,0.60974456,0.285714286,0.285714286,0.285714286,0.285714286,0.933774834,0.218499467,141,10,10,4,7.791097164,4.391631126
26,0.218723569,0.960486322,0.960469529,0.920493953,0.994549446,0.960237996,0.95709571,0.953947368,0.960264901,0.960264901,0.960674157,0.993763894,342,14,12,290,46.40288138,3.386177063,1.025650396,0.872727273,0.606433302,0.206333034,0.744560076,0.603047314,0.275862069,0.266666667,0.285714286,0.285714286,0.927152318,0.219484696,140,11,10,4,7.593938351,4.391631126
27,0.248224758,0.958966565,0.959127171,0.918020999,0.990575631,0.958955095,0.958268934,0.950920245,0.965732087,0.965732087,0.952522255,0.985855992,321,16,11,310,46.54870439,3.386177063,1.114611585,0.884848485,0.580652791,0.180196016,0.734626301,0.588852459,0.24,0.272727273,0.214285714,0.214285714,0.947019868,0.200158014,143,8,11,3,7.570661068,4.391631126
28,0.293104188,0.949848024,0.949824464,0.899794417,0.98815595,0.949842348,0.95037594,0.943283582,0.957575758,0.957575758,0.942073171,0.986234116,309,19,14,316,46.75244331,3.386177063,1.042612589,0.890909091,0.583964049,0.196114639,0.758278146,0.595588235,0.25,0.3,0.214285714,0.214285714,0.953642384,0.244143054,144,7,11,3,7.675723553,4.391631126
29,0.23746236,0.958966565,0.959174431,0.918140972,0.992171325,0.958961921,0.958525346,0.948328267,0.968944099,0.968944099,0.949404762,0.991344367,319,17,10,312,46.77948189,3.386177063,0.961700808,0.872727273,0.606433302,0.206333034,0.751655629,0.603047314,0.275862069,0.266666667,0.285714286,0.285714286,0.927152318,0.223799522,140,11,10,4,7.569777489,4.391631126
30,0.348559245,0.939209726,0.939572791,0.878625536,0.98306151,0.939173762,0.937694704,0.926153846,0.949526814,0.949526814,0.929618768,0.98016727,317,24,16,301,47.08135319,3.386177063,1.024889729,0.884848485,0.580652791,0.180196016,0.757332072,0.588852459,0.24,0.272727273,0.214285714,0.214285714,0.947019868,0.240382169,143,8,11,3,7.709705114,4.391631126
