epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.194471307,0.516717325,0.514513459,0.029327314,0.51677902,0.512932961,0.47,0.501779359,0.44200627,0.44200627,0.587020649,0.505389368,199,140,178,141,598.0499685,2.738518715,1.427313452,0.612121212,0.508097166,0.009038054,0.533653846,0.442567568,0.135135135,0.081967213,0.384615385,0.384615385,0.631578947,0.242316821,96,56,8,5,290.8667564,3.741775513
2,2.139994504,0.53343465,0.533186433,0.066596281,0.548578582,0.532526619,0.553129549,0.533707865,0.574018127,0.574018127,0.49235474,0.546359407,161,166,141,190,320.3051939,2.738518715,0.613996514,0.921212121,0.57034413,0.246438407,0.705212551,0.596880286,0.235294118,0.5,0.153846154,0.153846154,0.986842105,0.273827327,150,2,11,2,7.579721928,3.745559692
3,2.088892619,0.537993921,0.537980769,0.075933462,0.570085984,0.537887189,0.54491018,0.551515152,0.538461538,0.538461538,0.5375,0.584210977,172,148,156,182,174.3262389,2.734200001,1.525045812,0.672727273,0.611336032,0.127256953,0.625,0.499887741,0.205882353,0.127272727,0.538461538,0.538461538,0.684210526,0.149035686,104,48,6,7,7.616682291,3.748855591
4,1.762068747,0.613981763,0.614005913,0.228037108,0.648082964,0.613967497,0.611620795,0.617283951,0.606060606,0.606060606,0.62195122,0.64326556,204,124,130,200,109.3341842,2.73407793,3.8652956,0.187878788,0.559210526,0.102335771,0.732034413,0.187132353,0.1625,0.088435374,1,1,0.118421053,0.233839685,18,134,0,13,7.764618874,3.748855591
5,1.441275379,0.659574468,0.659420827,0.318582212,0.726605318,0.659193489,0.647798742,0.639751553,0.656050955,0.656050955,0.662790698,0.726654417,228,116,108,206,87.00623894,2.73407793,1.564981099,0.636363636,0.66194332,0.178578769,0.710526316,0.496336996,0.230769231,0.138461538,0.692307692,0.692307692,0.631578947,0.214303948,96,56,4,9,7.462072849,3.748855591
6,1.532633988,0.662613982,0.662188935,0.324221824,0.715208858,0.662086387,0.675438596,0.679411765,0.671511628,0.671511628,0.652866242,0.714758497,205,109,113,231,76.48319817,2.73407793,2.361374652,0.296969697,0.618421053,0.1544921,0.802884615,0.283038657,0.183098592,0.100775194,1,1,0.236842105,0.351186936,36,116,0,13,7.64832592,3.748855591
7,1.258237468,0.712765957,0.712755932,0.425502035,0.778060093,0.712749371,0.714932127,0.716012085,0.713855422,0.713855422,0.711656442,0.772012774,232,94,95,237,57.40018344,2.73407793,0.723205191,0.872727273,0.649544534,0.258463422,0.789979757,0.626173266,0.322580645,0.277777778,0.384615385,0.384615385,0.914473684,0.310151354,139,13,8,5,7.466835022,3.748855591
8,1.24400623,0.708206687,0.708126588,0.416291643,0.784527605,0.708139277,0.71257485,0.710447761,0.714714715,0.714714715,0.701538462,0.761904242,228,97,95,238,63.49880171,2.733589649,0.803449064,0.848484848,0.671558704,0.262192972,0.806174089,0.619500046,0.324324324,0.25,0.461538462,0.461538462,0.881578947,0.302686049,134,18,7,6,7.48581028,3.751541138
9,1.098982773,0.740121581,0.739135065,0.478680344,0.825730426,0.739297258,0.724637681,0.730519481,0.71884984,0.71884984,0.75942029,0.810231287,262,83,88,225,53.71617579,2.733589649,0.556266542,0.896969697,0.5923583,0.208561214,0.82312753,0.602747486,0.260869565,0.3,0.230769231,0.230769231,0.953947368,0.351330567,145,7,10,3,7.608551025,3.751541138
10,1.119439248,0.743161094,0.743153596,0.486295959,0.819531192,0.743146263,0.745098039,0.746223565,0.743975904,0.743975904,0.742331288,0.797281235,242,84,85,247,52.56032109,2.733589649,1.09444277,0.751515152,0.689271255,0.230615824,0.723431174,0.565259302,0.280701754,0.181818182,0.615384615,0.615384615,0.763157895,0.333611431,116,36,5,8,7.502752304,3.751541138
11,1.147540809,0.740121581,0.740139693,0.480272731,0.813871412,0.74012098,0.740515933,0.743902439,0.737160121,0.737160121,0.743119266,0.799716045,243,84,87,244,50.39419389,2.733589649,1.042938962,0.76969697,0.734311741,0.287609597,0.778340081,0.59137122,0.321428571,0.209302326,0.692307692,0.692307692,0.776315789,0.325929692,118,34,4,9,7.491070509,3.751541138
12,0.972653246,0.779635258,0.78,0.55902334,0.863622449,0.779206383,0.769475358,0.753894081,0.785714286,0.785714286,0.774285714,0.847966607,271,79,66,242,50.6092391,2.733589649,0.647500627,0.872727273,0.649544534,0.258463422,0.8125,0.626173266,0.322580645,0.277777778,0.384615385,0.384615385,0.914473684,0.357959541,139,13,8,5,7.5742836,3.751541138
13,0.919047395,0.79787234,0.797763578,0.595155249,0.880381534,0.797531435,0.805839416,0.811764706,0.8,0.8,0.795527157,0.881476043,249,64,69,276,45.91707492,2.733589649,0.699945453,0.842424242,0.668269231,0.252868163,0.823380567,0.613374189,0.315789474,0.24,0.461538462,0.461538462,0.875,0.383347005,133,19,7,6,7.647880793,3.751541138
14,0.833180116,0.82218845,0.822140269,0.644241834,0.902774697,0.822119017,0.825633383,0.826865672,0.824404762,0.824404762,0.819875776,0.887918151,264,58,59,277,46.40505362,2.733589649,0.707184355,0.848484848,0.63638664,0.216180211,0.784665992,0.600484262,0.285714286,0.227272727,0.384615385,0.384615385,0.888157895,0.308455813,135,17,8,5,7.653675556,3.751541138
15,0.950611558,0.796352584,0.79639573,0.592703826,0.881964789,0.796322476,0.793846154,0.788990826,0.79876161,0.79876161,0.794029851,0.852785701,266,69,65,258,46.1233995,2.733589649,0.703953108,0.842424242,0.668269231,0.252868163,0.832489879,0.613374189,0.315789474,0.24,0.461538462,0.461538462,0.875,0.369683338,133,19,7,6,7.452990532,3.751541138
16,0.883648413,0.813069909,0.812321341,0.625502567,0.892869367,0.812598553,0.8032,0.814935065,0.791798107,0.791798107,0.832844575,0.874067024,284,57,66,251,46.29464006,2.733589649,0.809431877,0.83030303,0.661690283,0.235497317,0.778593117,0.601724138,0.3,0.222222222,0.461538462,0.461538462,0.861842105,0.345701539,131,21,7,6,7.621091604,3.751541138
17,0.759441992,0.828267477,0.828250906,0.656474513,0.916486472,0.828235343,0.830584708,0.831831832,0.829341317,0.829341317,0.827160494,0.914826927,268,56,57,277,46.24283767,2.733589649,0.851642186,0.818181818,0.655111336,0.219582918,0.803390688,0.59077381,0.285714286,0.206896552,0.461538462,0.461538462,0.848684211,0.361096371,129,23,7,6,7.56656456,3.751541138
18,0.850601649,0.816109422,0.815687815,0.632325958,0.899981517,0.815843586,0.82284041,0.807471264,0.83880597,0.83880597,0.792569659,0.901056471,256,67,54,281,46.18983531,2.733589649,0.756505361,0.878787879,0.688006073,0.31735264,0.73152834,0.653942953,0.375,0.315789474,0.461538462,0.461538462,0.914473684,0.288274775,139,13,7,6,7.493383408,3.751541138
19,0.850713947,0.819148936,0.818199943,0.636780859,0.894094083,0.818373288,0.830242511,0.826704545,0.833810888,0.833810888,0.802588997,0.90193559,248,61,58,291,53.09917808,2.733589649,0.679589587,0.866666667,0.646255061,0.246877289,0.782894737,0.619337248,0.3125,0.263157895,0.384615385,0.384615385,0.907894737,0.319992357,138,14,8,5,7.394040585,3.751541138
20,0.825775847,0.814589666,0.814018631,0.627162411,0.900774263,0.813512861,0.799342105,0.791530945,0.80730897,0.80730897,0.820728291,0.88745835,293,64,58,243,46.05302644,2.733589649,0.729856363,0.872727273,0.684716599,0.304951231,0.762651822,0.646464646,0.363636364,0.3,0.461538462,0.461538462,0.907894737,0.330846475,138,14,7,6,7.662935495,3.751541138
21,0.926759113,0.79331307,0.791568065,0.58426501,0.881204933,0.792014131,0.775577558,0.785953177,0.765472313,0.765472313,0.817663818,0.862250927,287,64,72,235,45.99709654,2.733589649,0.790541364,0.83030303,0.661690283,0.235497317,0.807186235,0.601724138,0.3,0.222222222,0.461538462,0.461538462,0.861842105,0.354774414,131,21,7,6,7.454182386,3.751541138
22,0.770806179,0.854103343,0.854160503,0.70813771,0.921324889,0.854037267,0.850931677,0.845679012,0.85625,0.85625,0.852071006,0.908752314,288,50,46,274,46.13749504,2.733589649,0.7386867,0.866666667,0.681427126,0.29331535,0.766447368,0.639308426,0.352941176,0.285714286,0.461538462,0.461538462,0.901315789,0.315235238,137,15,7,6,7.679886818,3.751541138
23,0.792653034,0.828267477,0.826868242,0.655788731,0.908842209,0.827460499,0.839260313,0.821727019,0.85755814,0.85755814,0.796178344,0.912424421,250,64,49,295,46.20459986,2.733589649,0.698691762,0.878787879,0.652834008,0.270886992,0.767712551,0.633333333,0.333333333,0.294117647,0.384615385,0.384615385,0.921052632,0.31088674,140,12,8,5,7.558377981,3.751541138
24,0.740015927,0.85106383,0.851007021,0.702559478,0.923447894,0.850996377,0.847826087,0.863924051,0.832317073,0.832317073,0.86969697,0.905910921,287,43,55,273,45.91259146,2.733589649,0.673135788,0.866666667,0.681427126,0.29331535,0.833248988,0.639308426,0.352941176,0.285714286,0.461538462,0.461538462,0.901315789,0.350778982,137,15,7,6,7.737742662,3.751541138
25,0.8328685,0.820668693,0.820257633,0.641749949,0.899049124,0.82038826,0.82748538,0.808571429,0.847305389,0.847305389,0.793209877,0.884257231,257,67,51,283,46.36923957,2.733589649,0.652299402,0.878787879,0.688006073,0.31735264,0.796052632,0.653942953,0.375,0.315789474,0.461538462,0.461538462,0.914473684,0.332384207,139,13,7,6,7.587273836,3.751541138
26,0.786940247,0.843465046,0.843505456,0.68702678,0.916267081,0.843464684,0.843226788,0.849693252,0.836858006,0.836858006,0.850152905,0.909125121,278,49,54,277,46.81716704,2.733589649,0.697816359,0.878787879,0.688006073,0.31735264,0.778593117,0.653942953,0.375,0.315789474,0.461538462,0.461538462,0.914473684,0.32062329,139,13,7,6,7.773814917,3.751541138
