epoch,tr_loss,tr_accuracy,tr_balanced_accuracy,tr_mcc,tr_auc,tr_f1_macro,tr_f1,tr_precision,tr_recall,tr_sensitivity,tr_specificity,tr_pr_auc,tr_TN,tr_FP,tr_FN,tr_TP,tr_elapsed_time,tr_peak_memory_gb,va_loss,va_accuracy,va_balanced_accuracy,va_mcc,va_auc,va_f1_macro,va_f1,va_precision,va_recall,va_sensitivity,va_specificity,va_pr_auc,va_TN,va_FP,va_FN,va_TP,va_elapsed_time,va_peak_memory_gb
1,2.126082064,0.507598784,0.507455654,0.014977877,0.510495196,0.506431449,0.482428115,0.506711409,0.460365854,0.460365854,0.554545455,0.519736845,183,147,177,151,42.6928544,1.805956841,6.253883891,0.084848485,0.5,0,0.697019868,0.078212291,0.156424581,0.084848485,1,1,0,0.171298964,0,151,0,14,7.867525578,2.624273777
2,1.977657782,0.550151976,0.550209263,0.100433374,0.561476205,0.550135351,0.547400612,0.554179567,0.540785498,0.540785498,0.559633028,0.548220682,183,144,152,179,43.40570974,1.805956841,0.792945525,0.872727273,0.800851466,0.453224308,0.859981079,0.707570259,0.487804878,0.37037037,0.714285714,0.714285714,0.887417219,0.457608811,134,17,4,10,7.807803869,2.624273777
3,1.706698801,0.612462006,0.609630538,0.219541762,0.633377007,0.609735335,0.642356241,0.637883008,0.646892655,0.646892655,0.572368421,0.661890638,174,130,125,229,48.4671886,1.805956841,0.959078707,0.793939394,0.757805109,0.335265607,0.86731315,0.623590982,0.37037037,0.25,0.714285714,0.714285714,0.801324503,0.384865076,121,30,4,10,7.810461283,2.624273777
4,1.773668625,0.61550152,0.615130515,0.230714484,0.652252252,0.614945679,0.629575403,0.614285714,0.645645646,0.645645646,0.584615385,0.63366537,190,135,118,215,43.32414389,1.805956841,1.483895994,0.642424242,0.739829707,0.270972552,0.862346263,0.525145115,0.289156627,0.173913043,0.857142857,0.857142857,0.622516556,0.511044135,94,57,2,12,7.785461426,2.624273777
5,1.567053528,0.639817629,0.639817629,0.279667557,0.692824346,0.639796831,0.637059724,0.641975309,0.632218845,0.632218845,0.647416413,0.676790229,213,116,121,208,43.30041051,1.805956841,0.966691576,0.775757576,0.715468307,0.277883727,0.840586566,0.596363636,0.327272727,0.219512195,0.642857143,0.642857143,0.78807947,0.318590248,119,32,5,9,7.964721203,2.624273777
6,1.309817452,0.70668693,0.706284368,0.413051907,0.782362183,0.706328119,0.716593245,0.705202312,0.728358209,0.728358209,0.684210526,0.766057317,221,102,91,244,43.44897342,1.805956841,1.069817586,0.763636364,0.644039735,0.188950143,0.740066225,0.56167836,0.264150943,0.179487179,0.5,0.5,0.78807947,0.314459289,119,32,7,7,7.857107639,2.624273777
7,1.146529339,0.720364742,0.720408352,0.440979697,0.809275684,0.7203234,0.723723724,0.713017751,0.734756098,0.734756098,0.706060606,0.794701961,233,97,87,241,42.85696936,1.805956841,1.46817348,0.648484848,0.67833491,0.203970885,0.770813623,0.513125763,0.256410256,0.15625,0.714285714,0.714285714,0.642384106,0.260029097,97,54,4,10,8.033949137,2.624273777
8,0.988996031,0.76899696,0.769197357,0.538344964,0.85198928,0.768994826,0.768292683,0.756756757,0.780185759,0.780185759,0.758208955,0.832655698,254,81,71,252,43.0896883,1.805956841,0.7059606,0.866666667,0.700331126,0.328436609,0.812204352,0.657029478,0.388888889,0.318181818,0.5,0.5,0.900662252,0.308992465,136,15,7,7,7.910944939,2.624273777
9,0.808279402,0.82218845,0.822578555,0.644599528,0.907714378,0.822069683,0.817472699,0.803680982,0.831746032,0.831746032,0.813411079,0.882822374,279,64,53,262,43.18531752,1.805956841,0.804568139,0.842424242,0.654683065,0.244517575,0.754493851,0.613374189,0.315789474,0.25,0.428571429,0.428571429,0.880794702,0.306826254,133,18,8,6,7.91950655,2.624273777
10,0.884023727,0.817629179,0.816501962,0.634650353,0.896633726,0.816952736,0.828080229,0.811797753,0.84502924,0.84502924,0.787974684,0.885632396,249,67,53,289,43.14584231,1.805956841,0.852113442,0.793939394,0.692999054,0.26043033,0.776253548,0.599285714,0.32,0.222222222,0.571428571,0.571428571,0.814569536,0.323385047,123,28,6,8,7.966124773,2.624273777
